segment_id,group_id,dataset_id,site,view,data_type,label,file_path,file_name,file_stem,start_sec,end_sec,ch_start,ch_end,original_fs,source_label_csv
0,pohang__1khz_50ns_20deci_2m_UTC+0900_DST0_20190623_184121.825,pohang,pohang,pohang,event,1,/home/ted1204/MS_Detection_Datamaker/MS_datamaker_PH/data/event/1khz_50ns_20deci_2m_UTC+0900_DST0_20190623_184121.825.tdms,1khz_50ns_20deci_2m_UTC+0900_DST0_20190623_184121.825.tdms,1khz_50ns_20deci_2m_UTC+0900_DST0_20190623_184121.825,14.0,16.0,243,648,1000.0,pohang_labels_2s.csv
1,pohang__1khz_50ns_20deci_2m_UTC+0900_DST0_20190623_184121.825,pohang,pohang,pohang,event,1,/home/ted1204/MS_Detection_Datamaker/MS_datamaker_PH/data/event/1khz_50ns_20deci_2m_UTC+0900_DST0_20190623_184121.825.tdms,1khz_50ns_20deci_2m_UTC+0900_DST0_20190623_184121.825.tdms,1khz_50ns_20deci_2m_UTC+0900_DST0_20190623_184121.825,15.0,17.0,243,648,1000.0,pohang_labels_2s.csv
2,pohang__1khz_50ns_20deci_2m_UTC+0900_DST0_20190623_184121.825,pohang,pohang,pohang,event,1,/home/ted1204/MS_Detection_Datamaker/MS_datamaker_PH/data/event/1khz_50ns_20deci_2m_UTC+0900_DST0_20190623_184121.825.tdms,1khz_50ns_20deci_2m_UTC+0900_DST0_20190623_184121.825.tdms,1khz_50ns_20deci_2m_UTC+0900_DST0_20190623_184121.825,16.0,18.0,243,648,1000.0,pohang_labels_2s.csv
3,pohang__1khz_50ns_20deci_2m_UTC+0900_DST0_20190623_184121.825,pohang,pohang,pohang,event,1,/home/ted1204/MS_Detection_Datamaker/MS_datamaker_PH/data/event/1khz_50ns_20deci_2m_UTC+0900_DST0_20190623_184121.825.tdms,1khz_50ns_20deci_2m_UTC+0900_DST0_20190623_184121.825.tdms,1khz_50ns_20deci_2m_UTC+0900_DST0_20190623_184121.825,17.0,19.0,243,648,1000.0,pohang_labels_2s.csv
4,pohang__1khz_50ns_20deci_2m_UTC+0900_DST0_20190623_184121.825,pohang,pohang,pohang,event,1,/home/ted1204/MS_Detection_Datamaker/MS_datamaker_PH/data/event/1khz_50ns_20deci_2m_UTC+0900_DST0_20190623_184121.825.tdms,1khz_50ns_20deci_2m_UTC+0900_DST0_20190623_184121.825.tdms,1khz_50ns_20deci_2m_UTC+0900_DST0_20190623_184121.825,18.0,20.0,243,648,1000.0,pohang_labels_2s.csv
5,pohang__1khz_50ns_20deci_2m_UTC+0900_DST0_20190623_184121.825,pohang,pohang,pohang,event,1,/home/ted1204/MS_Detection_Datamaker/MS_datamaker_PH/data/event/1khz_50ns_20deci_2m_UTC+0900_DST0_20190623_184121.825.tdms,1khz_50ns_20deci_2m_UTC+0900_DST0_20190623_184121.825.tdms,1khz_50ns_20deci_2m_UTC+0900_DST0_20190623_184121.825,19.0,21.0,243,648,1000.0,pohang_labels_2s.csv
6,pohang__1khz_50ns_20deci_2m_UTC+0900_DST0_20190623_184121.825,pohang,pohang,pohang,event,1,/home/ted1204/MS_Detection_Datamaker/MS_datamaker_PH/data/event/1khz_50ns_20deci_2m_UTC+0900_DST0_20190623_184121.825.tdms,1khz_50ns_20deci_2m_UTC+0900_DST0_20190623_184121.825.tdms,1khz_50ns_20deci_2m_UTC+0900_DST0_20190623_184121.825,20.0,22.0,243,648,1000.0,pohang_labels_2s.csv
7,pohang__1khz_50ns_20deci_2m_UTC+0900_DST0_20190623_184121.825,pohang,pohang,pohang,event,1,/home/ted1204/MS_Detection_Datamaker/MS_datamaker_PH/data/event/1khz_50ns_20deci_2m_UTC+0900_DST0_20190623_184121.825.tdms,1khz_50ns_20deci_2m_UTC+0900_DST0_20190623_184121.825.tdms,1khz_50ns_20deci_2m_UTC+0900_DST0_20190623_184121.825,21.0,23.0,243,648,1000.0,pohang_labels_2s.csv
8,pohang__1khz_50ns_20deci_2m_UTC+0900_DST0_20190623_184121.825,pohang,pohang,pohang,event,1,/home/ted1204/MS_Detection_Datamaker/MS_datamaker_PH/data/event/1khz_50ns_20deci_2m_UTC+0900_DST0_20190623_184121.825.tdms,1khz_50ns_20deci_2m_UTC+0900_DST0_20190623_184121.825.tdms,1khz_50ns_20deci_2m_UTC+0900_DST0_20190623_184121.825,22.0,24.0,243,648,1000.0,pohang_labels_2s.csv
9,pohang__1khz_50ns_20deci_2m_UTC+0900_DST0_20190623_184121.825,pohang,pohang,pohang,event,1,/home/ted1204/MS_Detection_Datamaker/MS_datamaker_PH/data/event/1khz_50ns_20deci_2m_UTC+0900_DST0_20190623_184121.825.tdms,1khz_50ns_20deci_2m_UTC+0900_DST0_20190623_184121.825.tdms,1khz_50ns_20deci_2m_UTC+0900_DST0_20190623_184121.825,23.0,25.0,243,648,1000.0,pohang_labels_2s.csv
