segment_id,group_id,dataset_id,site,view,data_type,label,file_path,file_name,file_stem,start_sec,end_sec,ch_start,ch_end,original_fs
0,pohang__1khz_50ns_20deci_2m_UTC+0900_DST0_20190524_055159.387,pohang,pohang,pohang,noise,0,/home/ted1204/MS_Detection_Datamaker/MS_datamaker_PH/data/noise/1khz_50ns_20deci_2m_UTC+0900_DST0_20190524_055159.387.tdms,1khz_50ns_20deci_2m_UTC+0900_DST0_20190524_055159.387.tdms,1khz_50ns_20deci_2m_UTC+0900_DST0_20190524_055159.387,2.0,4.0,243,648,1000.0
1,pohang__1khz_50ns_20deci_2m_UTC+0900_DST0_20190524_055159.387,pohang,pohang,pohang,noise,0,/home/ted1204/MS_Detection_Datamaker/MS_datamaker_PH/data/noise/1khz_50ns_20deci_2m_UTC+0900_DST0_20190524_055159.387.tdms,1khz_50ns_20deci_2m_UTC+0900_DST0_20190524_055159.387.tdms,1khz_50ns_20deci_2m_UTC+0900_DST0_20190524_055159.387,3.0,5.0,243,648,1000.0
2,pohang__1khz_50ns_20deci_2m_UTC+0900_DST0_20190524_055159.387,pohang,pohang,pohang,noise,0,/home/ted1204/MS_Detection_Datamaker/MS_datamaker_PH/data/noise/1khz_50ns_20deci_2m_UTC+0900_DST0_20190524_055159.387.tdms,1khz_50ns_20deci_2m_UTC+0900_DST0_20190524_055159.387.tdms,1khz_50ns_20deci_2m_UTC+0900_DST0_20190524_055159.387,4.0,6.0,243,648,1000.0
3,pohang__1khz_50ns_20deci_2m_UTC+0900_DST0_20190524_055159.387,pohang,pohang,pohang,noise,0,/home/ted1204/MS_Detection_Datamaker/MS_datamaker_PH/data/noise/1khz_50ns_20deci_2m_UTC+0900_DST0_20190524_055159.387.tdms,1khz_50ns_20deci_2m_UTC+0900_DST0_20190524_055159.387.tdms,1khz_50ns_20deci_2m_UTC+0900_DST0_20190524_055159.387,11.0,13.0,243,648,1000.0
4,pohang__1khz_50ns_20deci_2m_UTC+0900_DST0_20190524_055159.387,pohang,pohang,pohang,noise,0,/home/ted1204/MS_Detection_Datamaker/MS_datamaker_PH/data/noise/1khz_50ns_20deci_2m_UTC+0900_DST0_20190524_055159.387.tdms,1khz_50ns_20deci_2m_UTC+0900_DST0_20190524_055159.387.tdms,1khz_50ns_20deci_2m_UTC+0900_DST0_20190524_055159.387,12.0,14.0,243,648,1000.0
5,pohang__1khz_50ns_20deci_2m_UTC+0900_DST0_20190524_055159.387,pohang,pohang,pohang,noise,0,/home/ted1204/MS_Detection_Datamaker/MS_datamaker_PH/data/noise/1khz_50ns_20deci_2m_UTC+0900_DST0_20190524_055159.387.tdms,1khz_50ns_20deci_2m_UTC+0900_DST0_20190524_055159.387.tdms,1khz_50ns_20deci_2m_UTC+0900_DST0_20190524_055159.387,18.0,20.0,243,648,1000.0
6,pohang__1khz_50ns_20deci_2m_UTC+0900_DST0_20190524_055159.387,pohang,pohang,pohang,noise,0,/home/ted1204/MS_Detection_Datamaker/MS_datamaker_PH/data/noise/1khz_50ns_20deci_2m_UTC+0900_DST0_20190524_055159.387.tdms,1khz_50ns_20deci_2m_UTC+0900_DST0_20190524_055159.387.tdms,1khz_50ns_20deci_2m_UTC+0900_DST0_20190524_055159.387,23.0,25.0,243,648,1000.0
7,pohang__1khz_50ns_20deci_2m_UTC+0900_DST0_20190524_055159.387,pohang,pohang,pohang,noise,0,/home/ted1204/MS_Detection_Datamaker/MS_datamaker_PH/data/noise/1khz_50ns_20deci_2m_UTC+0900_DST0_20190524_055159.387.tdms,1khz_50ns_20deci_2m_UTC+0900_DST0_20190524_055159.387.tdms,1khz_50ns_20deci_2m_UTC+0900_DST0_20190524_055159.387,29.0,31.0,243,648,1000.0
8,pohang__1khz_50ns_20deci_2m_UTC+0900_DST0_20190524_055159.387,pohang,pohang,pohang,noise,0,/home/ted1204/MS_Detection_Datamaker/MS_datamaker_PH/data/noise/1khz_50ns_20deci_2m_UTC+0900_DST0_20190524_055159.387.tdms,1khz_50ns_20deci_2m_UTC+0900_DST0_20190524_055159.387.tdms,1khz_50ns_20deci_2m_UTC+0900_DST0_20190524_055159.387,36.0,38.0,243,648,1000.0
9,pohang__1khz_50ns_20deci_2m_UTC+0900_DST0_20190524_055159.387,pohang,pohang,pohang,noise,0,/home/ted1204/MS_Detection_Datamaker/MS_datamaker_PH/data/noise/1khz_50ns_20deci_2m_UTC+0900_DST0_20190524_055159.387.tdms,1khz_50ns_20deci_2m_UTC+0900_DST0_20190524_055159.387.tdms,1khz_50ns_20deci_2m_UTC+0900_DST0_20190524_055159.387,39.0,41.0,243,648,1000.0
