segment_id,group_id,dataset_id,site,view,data_type,label,file_path,file_name,file_stem,start_sec,end_sec,ch_start,ch_end,original_fs
0,pohang__1khz_50ns_20deci_2m_UTC+0900_DST0_20190522_180459.387,pohang,pohang,pohang,unlabel,2,/home/ted1204/MS_Detection_Datamaker/MS_datamaker_PH/data/unlabel/1khz_50ns_20deci_2m_UTC+0900_DST0_20190522_180459.387.tdms,1khz_50ns_20deci_2m_UTC+0900_DST0_20190522_180459.387.tdms,1khz_50ns_20deci_2m_UTC+0900_DST0_20190522_180459.387,0.0,2.0,243,648,1000.0
1,pohang__1khz_50ns_20deci_2m_UTC+0900_DST0_20190522_180459.387,pohang,pohang,pohang,unlabel,2,/home/ted1204/MS_Detection_Datamaker/MS_datamaker_PH/data/unlabel/1khz_50ns_20deci_2m_UTC+0900_DST0_20190522_180459.387.tdms,1khz_50ns_20deci_2m_UTC+0900_DST0_20190522_180459.387.tdms,1khz_50ns_20deci_2m_UTC+0900_DST0_20190522_180459.387,3.0,5.0,243,648,1000.0
2,pohang__1khz_50ns_20deci_2m_UTC+0900_DST0_20190522_180459.387,pohang,pohang,pohang,unlabel,2,/home/ted1204/MS_Detection_Datamaker/MS_datamaker_PH/data/unlabel/1khz_50ns_20deci_2m_UTC+0900_DST0_20190522_180459.387.tdms,1khz_50ns_20deci_2m_UTC+0900_DST0_20190522_180459.387.tdms,1khz_50ns_20deci_2m_UTC+0900_DST0_20190522_180459.387,5.0,7.0,243,648,1000.0
3,pohang__1khz_50ns_20deci_2m_UTC+0900_DST0_20190522_180459.387,pohang,pohang,pohang,unlabel,2,/home/ted1204/MS_Detection_Datamaker/MS_datamaker_PH/data/unlabel/1khz_50ns_20deci_2m_UTC+0900_DST0_20190522_180459.387.tdms,1khz_50ns_20deci_2m_UTC+0900_DST0_20190522_180459.387.tdms,1khz_50ns_20deci_2m_UTC+0900_DST0_20190522_180459.387,6.0,8.0,243,648,1000.0
4,pohang__1khz_50ns_20deci_2m_UTC+0900_DST0_20190522_180459.387,pohang,pohang,pohang,unlabel,2,/home/ted1204/MS_Detection_Datamaker/MS_datamaker_PH/data/unlabel/1khz_50ns_20deci_2m_UTC+0900_DST0_20190522_180459.387.tdms,1khz_50ns_20deci_2m_UTC+0900_DST0_20190522_180459.387.tdms,1khz_50ns_20deci_2m_UTC+0900_DST0_20190522_180459.387,12.0,14.0,243,648,1000.0
5,pohang__1khz_50ns_20deci_2m_UTC+0900_DST0_20190522_180459.387,pohang,pohang,pohang,unlabel,2,/home/ted1204/MS_Detection_Datamaker/MS_datamaker_PH/data/unlabel/1khz_50ns_20deci_2m_UTC+0900_DST0_20190522_180459.387.tdms,1khz_50ns_20deci_2m_UTC+0900_DST0_20190522_180459.387.tdms,1khz_50ns_20deci_2m_UTC+0900_DST0_20190522_180459.387,16.0,18.0,243,648,1000.0
6,pohang__1khz_50ns_20deci_2m_UTC+0900_DST0_20190522_180459.387,pohang,pohang,pohang,unlabel,2,/home/ted1204/MS_Detection_Datamaker/MS_datamaker_PH/data/unlabel/1khz_50ns_20deci_2m_UTC+0900_DST0_20190522_180459.387.tdms,1khz_50ns_20deci_2m_UTC+0900_DST0_20190522_180459.387.tdms,1khz_50ns_20deci_2m_UTC+0900_DST0_20190522_180459.387,18.0,20.0,243,648,1000.0
7,pohang__1khz_50ns_20deci_2m_UTC+0900_DST0_20190522_180459.387,pohang,pohang,pohang,unlabel,2,/home/ted1204/MS_Detection_Datamaker/MS_datamaker_PH/data/unlabel/1khz_50ns_20deci_2m_UTC+0900_DST0_20190522_180459.387.tdms,1khz_50ns_20deci_2m_UTC+0900_DST0_20190522_180459.387.tdms,1khz_50ns_20deci_2m_UTC+0900_DST0_20190522_180459.387,25.0,27.0,243,648,1000.0
8,pohang__1khz_50ns_20deci_2m_UTC+0900_DST0_20190522_180459.387,pohang,pohang,pohang,unlabel,2,/home/ted1204/MS_Detection_Datamaker/MS_datamaker_PH/data/unlabel/1khz_50ns_20deci_2m_UTC+0900_DST0_20190522_180459.387.tdms,1khz_50ns_20deci_2m_UTC+0900_DST0_20190522_180459.387.tdms,1khz_50ns_20deci_2m_UTC+0900_DST0_20190522_180459.387,35.0,37.0,243,648,1000.0
9,pohang__1khz_50ns_20deci_2m_UTC+0900_DST0_20190522_180459.387,pohang,pohang,pohang,unlabel,2,/home/ted1204/MS_Detection_Datamaker/MS_datamaker_PH/data/unlabel/1khz_50ns_20deci_2m_UTC+0900_DST0_20190522_180459.387.tdms,1khz_50ns_20deci_2m_UTC+0900_DST0_20190522_180459.387.tdms,1khz_50ns_20deci_2m_UTC+0900_DST0_20190522_180459.387,38.0,40.0,243,648,1000.0
10,pohang__1khz_50ns_20deci_2m_UTC+0900_DST0_20190522_180459.387,pohang,pohang,pohang,unlabel,2,/home/ted1204/MS_Detection_Datamaker/MS_datamaker_PH/data/unlabel/1khz_50ns_20deci_2m_UTC+0900_DST0_20190522_180459.387.tdms,1khz_50ns_20deci_2m_UTC+0900_DST0_20190522_180459.387.tdms,1khz_50ns_20deci_2m_UTC+0900_DST0_20190522_180459.387,41.0,43.0,243,648,1000.0
11,pohang__1khz_50ns_20deci_2m_UTC+0900_DST0_20190522_180459.387,pohang,pohang,pohang,unlabel,2,/home/ted1204/MS_Detection_Datamaker/MS_datamaker_PH/data/unlabel/1khz_50ns_20deci_2m_UTC+0900_DST0_20190522_180459.387.tdms,1khz_50ns_20deci_2m_UTC+0900_DST0_20190522_180459.387.tdms,1khz_50ns_20deci_2m_UTC+0900_DST0_20190522_180459.387,43.0,45.0,243,648,1000.0
12,pohang__1khz_50ns_20deci_2m_UTC+0900_DST0_20190522_180459.387,pohang,pohang,pohang,unlabel,2,/home/ted1204/MS_Detection_Datamaker/MS_datamaker_PH/data/unlabel/1khz_50ns_20deci_2m_UTC+0900_DST0_20190522_180459.387.tdms,1khz_50ns_20deci_2m_UTC+0900_DST0_20190522_180459.387.tdms,1khz_50ns_20deci_2m_UTC+0900_DST0_20190522_180459.387,50.0,52.0,243,648,1000.0
