dataset_id,site,data_type,file_path,file_name,file_stem,ext,group_id,original_fs
utah_2019,utah_2019,event,/home/ted1204/MS_Detection_Datamaker/MS_datamaker_UTAH_2019/data/event/FORGE_78-32_iDASv3-P11_UTC190427171923.sgy,FORGE_78-32_iDASv3-P11_UTC190427171923.sgy,FORGE_78-32_iDASv3-P11_UTC190427171923,.sgy,utah_2019__FORGE_78-32_iDASv3-P11_UTC190427171923,1000.0
utah_2019,utah_2019,event,/home/ted1204/MS_Detection_Datamaker/MS_datamaker_UTAH_2019/data/event/FORGE_78-32_iDASv3-P11_UTC190427172008.sgy,FORGE_78-32_iDASv3-P11_UTC190427172008.sgy,FORGE_78-32_iDASv3-P11_UTC190427172008,.sgy,utah_2019__FORGE_78-32_iDASv3-P11_UTC190427172008,1000.0
utah_2019,utah_2019,event,/home/ted1204/MS_Detection_Datamaker/MS_datamaker_UTAH_2019/data/event/FORGE_78-32_iDASv3-P11_UTC190427172223.sgy,FORGE_78-32_iDASv3-P11_UTC190427172223.sgy,FORGE_78-32_iDASv3-P11_UTC190427172223,.sgy,utah_2019__FORGE_78-32_iDASv3-P11_UTC190427172223,1000.0
utah_2019,utah_2019,event,/home/ted1204/MS_Detection_Datamaker/MS_datamaker_UTAH_2019/data/event/FORGE_78-32_iDASv3-P11_UTC190427172438.sgy,FORGE_78-32_iDASv3-P11_UTC190427172438.sgy,FORGE_78-32_iDASv3-P11_UTC190427172438,.sgy,utah_2019__FORGE_78-32_iDASv3-P11_UTC190427172438,1000.0
utah_2019,utah_2019,event,/home/ted1204/MS_Detection_Datamaker/MS_datamaker_UTAH_2019/data/event/FORGE_78-32_iDASv3-P11_UTC190427172538.sgy,FORGE_78-32_iDASv3-P11_UTC190427172538.sgy,FORGE_78-32_iDASv3-P11_UTC190427172538,.sgy,utah_2019__FORGE_78-32_iDASv3-P11_UTC190427172538,1000.0
utah_2019,utah_2019,event,/home/ted1204/MS_Detection_Datamaker/MS_datamaker_UTAH_2019/data/event/FORGE_78-32_iDASv3-P11_UTC190427172623.sgy,FORGE_78-32_iDASv3-P11_UTC190427172623.sgy,FORGE_78-32_iDASv3-P11_UTC190427172623,.sgy,utah_2019__FORGE_78-32_iDASv3-P11_UTC190427172623,1000.0
utah_2019,utah_2019,event,/home/ted1204/MS_Detection_Datamaker/MS_datamaker_UTAH_2019/data/event/FORGE_78-32_iDASv3-P11_UTC190427172738.sgy,FORGE_78-32_iDASv3-P11_UTC190427172738.sgy,FORGE_78-32_iDASv3-P11_UTC190427172738,.sgy,utah_2019__FORGE_78-32_iDASv3-P11_UTC190427172738,1000.0
utah_2019,utah_2019,event,/home/ted1204/MS_Detection_Datamaker/MS_datamaker_UTAH_2019/data/event/FORGE_78-32_iDASv3-P11_UTC190427172838.sgy,FORGE_78-32_iDASv3-P11_UTC190427172838.sgy,FORGE_78-32_iDASv3-P11_UTC190427172838,.sgy,utah_2019__FORGE_78-32_iDASv3-P11_UTC190427172838,1000.0
utah_2019,utah_2019,event,/home/ted1204/MS_Detection_Datamaker/MS_datamaker_UTAH_2019/data/event/FORGE_78-32_iDASv3-P11_UTC190427172938.sgy,FORGE_78-32_iDASv3-P11_UTC190427172938.sgy,FORGE_78-32_iDASv3-P11_UTC190427172938,.sgy,utah_2019__FORGE_78-32_iDASv3-P11_UTC190427172938,1000.0
utah_2019,utah_2019,event,/home/ted1204/MS_Detection_Datamaker/MS_datamaker_UTAH_2019/data/event/FORGE_78-32_iDASv3-P11_UTC190427173023.sgy,FORGE_78-32_iDASv3-P11_UTC190427173023.sgy,FORGE_78-32_iDASv3-P11_UTC190427173023,.sgy,utah_2019__FORGE_78-32_iDASv3-P11_UTC190427173023,1000.0
utah_2019,utah_2019,event,/home/ted1204/MS_Detection_Datamaker/MS_datamaker_UTAH_2019/data/event/FORGE_78-32_iDASv3-P11_UTC190427173323.sgy,FORGE_78-32_iDASv3-P11_UTC190427173323.sgy,FORGE_78-32_iDASv3-P11_UTC190427173323,.sgy,utah_2019__FORGE_78-32_iDASv3-P11_UTC190427173323,1000.0
utah_2019,utah_2019,event,/home/ted1204/MS_Detection_Datamaker/MS_datamaker_UTAH_2019/data/event/FORGE_78-32_iDASv3-P11_UTC190427173438.sgy,FORGE_78-32_iDASv3-P11_UTC190427173438.sgy,FORGE_78-32_iDASv3-P11_UTC190427173438,.sgy,utah_2019__FORGE_78-32_iDASv3-P11_UTC190427173438,1000.0
utah_2019,utah_2019,event,/home/ted1204/MS_Detection_Datamaker/MS_datamaker_UTAH_2019/data/event/FORGE_78-32_iDASv3-P11_UTC190427173508.sgy,FORGE_78-32_iDASv3-P11_UTC190427173508.sgy,FORGE_78-32_iDASv3-P11_UTC190427173508,.sgy,utah_2019__FORGE_78-32_iDASv3-P11_UTC190427173508,1000.0
utah_2019,utah_2019,event,/home/ted1204/MS_Detection_Datamaker/MS_datamaker_UTAH_2019/data/event/FORGE_78-32_iDASv3-P11_UTC190427173653.sgy,FORGE_78-32_iDASv3-P11_UTC190427173653.sgy,FORGE_78-32_iDASv3-P11_UTC190427173653,.sgy,utah_2019__FORGE_78-32_iDASv3-P11_UTC190427173653,1000.0
utah_2019,utah_2019,event,/home/ted1204/MS_Detection_Datamaker/MS_datamaker_UTAH_2019/data/event/FORGE_78-32_iDASv3-P11_UTC190427173708.sgy,FORGE_78-32_iDASv3-P11_UTC190427173708.sgy,FORGE_78-32_iDASv3-P11_UTC190427173708,.sgy,utah_2019__FORGE_78-32_iDASv3-P11_UTC190427173708,1000.0
utah_2019,utah_2019,event,/home/ted1204/MS_Detection_Datamaker/MS_datamaker_UTAH_2019/data/event/FORGE_78-32_iDASv3-P11_UTC190427173738.sgy,FORGE_78-32_iDASv3-P11_UTC190427173738.sgy,FORGE_78-32_iDASv3-P11_UTC190427173738,.sgy,utah_2019__FORGE_78-32_iDASv3-P11_UTC190427173738,1000.0
utah_2019,utah_2019,event,/home/ted1204/MS_Detection_Datamaker/MS_datamaker_UTAH_2019/data/event/FORGE_78-32_iDASv3-P11_UTC190427173853.sgy,FORGE_78-32_iDASv3-P11_UTC190427173853.sgy,FORGE_78-32_iDASv3-P11_UTC190427173853,.sgy,utah_2019__FORGE_78-32_iDASv3-P11_UTC190427173853,1000.0
utah_2019,utah_2019,event,/home/ted1204/MS_Detection_Datamaker/MS_datamaker_UTAH_2019/data/event/FORGE_78-32_iDASv3-P11_UTC190427173908.sgy,FORGE_78-32_iDASv3-P11_UTC190427173908.sgy,FORGE_78-32_iDASv3-P11_UTC190427173908,.sgy,utah_2019__FORGE_78-32_iDASv3-P11_UTC190427173908,1000.0
utah_2019,utah_2019,event,/home/ted1204/MS_Detection_Datamaker/MS_datamaker_UTAH_2019/data/event/FORGE_78-32_iDASv3-P11_UTC190427173953.sgy,FORGE_78-32_iDASv3-P11_UTC190427173953.sgy,FORGE_78-32_iDASv3-P11_UTC190427173953,.sgy,utah_2019__FORGE_78-32_iDASv3-P11_UTC190427173953,1000.0
utah_2019,utah_2019,event,/home/ted1204/MS_Detection_Datamaker/MS_datamaker_UTAH_2019/data/event/FORGE_78-32_iDASv3-P11_UTC190427174023.sgy,FORGE_78-32_iDASv3-P11_UTC190427174023.sgy,FORGE_78-32_iDASv3-P11_UTC190427174023,.sgy,utah_2019__FORGE_78-32_iDASv3-P11_UTC190427174023,1000.0
