segment_id,group_id,dataset_id,site,view,data_type,label,file_path,file_name,file_stem,start_sec,end_sec,ch_start,ch_end,original_fs,source_label_csv
0,utah_2019__FORGE_78-32_iDASv3-P11_UTC190427171923,utah_2019,utah_2019,utah_2019_1,event,1,/home/ted1204/MS_Detection_Datamaker/MS_datamaker_UTAH_2019/data/event/FORGE_78-32_iDASv3-P11_UTC190427171923.sgy,FORGE_78-32_iDASv3-P11_UTC190427171923.sgy,FORGE_78-32_iDASv3-P11_UTC190427171923,12.0,14.0,679,1084,1000.0,utah_lower_labels_2s.csv
1,utah_2019__FORGE_78-32_iDASv3-P11_UTC190427171923,utah_2019,utah_2019,utah_2019_1,event,1,/home/ted1204/MS_Detection_Datamaker/MS_datamaker_UTAH_2019/data/event/FORGE_78-32_iDASv3-P11_UTC190427171923.sgy,FORGE_78-32_iDASv3-P11_UTC190427171923.sgy,FORGE_78-32_iDASv3-P11_UTC190427171923,13.0,15.0,679,1084,1000.0,utah_lower_labels_2s.csv
2,utah_2019__FORGE_78-32_iDASv3-P11_UTC190427172008,utah_2019,utah_2019,utah_2019_1,event,1,/home/ted1204/MS_Detection_Datamaker/MS_datamaker_UTAH_2019/data/event/FORGE_78-32_iDASv3-P11_UTC190427172008.sgy,FORGE_78-32_iDASv3-P11_UTC190427172008.sgy,FORGE_78-32_iDASv3-P11_UTC190427172008,4.0,6.0,679,1084,1000.0,utah_lower_labels_2s.csv
3,utah_2019__FORGE_78-32_iDASv3-P11_UTC190427172008,utah_2019,utah_2019,utah_2019_1,event,1,/home/ted1204/MS_Detection_Datamaker/MS_datamaker_UTAH_2019/data/event/FORGE_78-32_iDASv3-P11_UTC190427172008.sgy,FORGE_78-32_iDASv3-P11_UTC190427172008.sgy,FORGE_78-32_iDASv3-P11_UTC190427172008,5.0,7.0,679,1084,1000.0,utah_lower_labels_2s.csv
4,utah_2019__FORGE_78-32_iDASv3-P11_UTC190427172008,utah_2019,utah_2019,utah_2019_1,event,1,/home/ted1204/MS_Detection_Datamaker/MS_datamaker_UTAH_2019/data/event/FORGE_78-32_iDASv3-P11_UTC190427172008.sgy,FORGE_78-32_iDASv3-P11_UTC190427172008.sgy,FORGE_78-32_iDASv3-P11_UTC190427172008,6.0,8.0,679,1084,1000.0,utah_lower_labels_2s.csv
5,utah_2019__FORGE_78-32_iDASv3-P11_UTC190427172438,utah_2019,utah_2019,utah_2019_1,event,1,/home/ted1204/MS_Detection_Datamaker/MS_datamaker_UTAH_2019/data/event/FORGE_78-32_iDASv3-P11_UTC190427172438.sgy,FORGE_78-32_iDASv3-P11_UTC190427172438.sgy,FORGE_78-32_iDASv3-P11_UTC190427172438,8.0,10.0,679,1084,1000.0,utah_lower_labels_2s.csv
6,utah_2019__FORGE_78-32_iDASv3-P11_UTC190427172438,utah_2019,utah_2019,utah_2019_1,event,1,/home/ted1204/MS_Detection_Datamaker/MS_datamaker_UTAH_2019/data/event/FORGE_78-32_iDASv3-P11_UTC190427172438.sgy,FORGE_78-32_iDASv3-P11_UTC190427172438.sgy,FORGE_78-32_iDASv3-P11_UTC190427172438,9.0,11.0,679,1084,1000.0,utah_lower_labels_2s.csv
7,utah_2019__FORGE_78-32_iDASv3-P11_UTC190427172438,utah_2019,utah_2019,utah_2019_1,event,1,/home/ted1204/MS_Detection_Datamaker/MS_datamaker_UTAH_2019/data/event/FORGE_78-32_iDASv3-P11_UTC190427172438.sgy,FORGE_78-32_iDASv3-P11_UTC190427172438.sgy,FORGE_78-32_iDASv3-P11_UTC190427172438,10.0,12.0,679,1084,1000.0,utah_lower_labels_2s.csv
8,utah_2019__FORGE_78-32_iDASv3-P11_UTC190427172738,utah_2019,utah_2019,utah_2019_1,event,1,/home/ted1204/MS_Detection_Datamaker/MS_datamaker_UTAH_2019/data/event/FORGE_78-32_iDASv3-P11_UTC190427172738.sgy,FORGE_78-32_iDASv3-P11_UTC190427172738.sgy,FORGE_78-32_iDASv3-P11_UTC190427172738,16.0,18.0,679,1084,1000.0,utah_lower_labels_2s.csv
9,utah_2019__FORGE_78-32_iDASv3-P11_UTC190427172738,utah_2019,utah_2019,utah_2019_1,event,1,/home/ted1204/MS_Detection_Datamaker/MS_datamaker_UTAH_2019/data/event/FORGE_78-32_iDASv3-P11_UTC190427172738.sgy,FORGE_78-32_iDASv3-P11_UTC190427172738.sgy,FORGE_78-32_iDASv3-P11_UTC190427172738,17.0,19.0,679,1084,1000.0,utah_lower_labels_2s.csv
