segment_id,group_id,dataset_id,site,view,data_type,label,file_path,file_name,file_stem,start_sec,end_sec,ch_start,ch_end,original_fs
0,utah_2019__FORGE_78-32_iDASv3-P11_UTC190426090853,utah_2019,utah_2019,utah_2019_1,noise,0,/home/ted1204/MS_Detection_Datamaker/MS_datamaker_UTAH_2019/data/noise/FORGE_78-32_iDASv3-P11_UTC190426090853.sgy,FORGE_78-32_iDASv3-P11_UTC190426090853.sgy,FORGE_78-32_iDASv3-P11_UTC190426090853,0.0,2.0,679,1084,1000.0
1,utah_2019__FORGE_78-32_iDASv3-P11_UTC190426090853,utah_2019,utah_2019,utah_2019_1,noise,0,/home/ted1204/MS_Detection_Datamaker/MS_datamaker_UTAH_2019/data/noise/FORGE_78-32_iDASv3-P11_UTC190426090853.sgy,FORGE_78-32_iDASv3-P11_UTC190426090853.sgy,FORGE_78-32_iDASv3-P11_UTC190426090853,1.0,3.0,679,1084,1000.0
2,utah_2019__FORGE_78-32_iDASv3-P11_UTC190426090853,utah_2019,utah_2019,utah_2019_1,noise,0,/home/ted1204/MS_Detection_Datamaker/MS_datamaker_UTAH_2019/data/noise/FORGE_78-32_iDASv3-P11_UTC190426090853.sgy,FORGE_78-32_iDASv3-P11_UTC190426090853.sgy,FORGE_78-32_iDASv3-P11_UTC190426090853,2.0,4.0,679,1084,1000.0
3,utah_2019__FORGE_78-32_iDASv3-P11_UTC190426090853,utah_2019,utah_2019,utah_2019_1,noise,0,/home/ted1204/MS_Detection_Datamaker/MS_datamaker_UTAH_2019/data/noise/FORGE_78-32_iDASv3-P11_UTC190426090853.sgy,FORGE_78-32_iDASv3-P11_UTC190426090853.sgy,FORGE_78-32_iDASv3-P11_UTC190426090853,3.0,5.0,679,1084,1000.0
4,utah_2019__FORGE_78-32_iDASv3-P11_UTC190426090853,utah_2019,utah_2019,utah_2019_1,noise,0,/home/ted1204/MS_Detection_Datamaker/MS_datamaker_UTAH_2019/data/noise/FORGE_78-32_iDASv3-P11_UTC190426090853.sgy,FORGE_78-32_iDASv3-P11_UTC190426090853.sgy,FORGE_78-32_iDASv3-P11_UTC190426090853,4.0,6.0,679,1084,1000.0
5,utah_2019__FORGE_78-32_iDASv3-P11_UTC190426090853,utah_2019,utah_2019,utah_2019_1,noise,0,/home/ted1204/MS_Detection_Datamaker/MS_datamaker_UTAH_2019/data/noise/FORGE_78-32_iDASv3-P11_UTC190426090853.sgy,FORGE_78-32_iDASv3-P11_UTC190426090853.sgy,FORGE_78-32_iDASv3-P11_UTC190426090853,5.0,7.0,679,1084,1000.0
6,utah_2019__FORGE_78-32_iDASv3-P11_UTC190426090853,utah_2019,utah_2019,utah_2019_1,noise,0,/home/ted1204/MS_Detection_Datamaker/MS_datamaker_UTAH_2019/data/noise/FORGE_78-32_iDASv3-P11_UTC190426090853.sgy,FORGE_78-32_iDASv3-P11_UTC190426090853.sgy,FORGE_78-32_iDASv3-P11_UTC190426090853,8.0,10.0,679,1084,1000.0
7,utah_2019__FORGE_78-32_iDASv3-P11_UTC190426090853,utah_2019,utah_2019,utah_2019_1,noise,0,/home/ted1204/MS_Detection_Datamaker/MS_datamaker_UTAH_2019/data/noise/FORGE_78-32_iDASv3-P11_UTC190426090853.sgy,FORGE_78-32_iDASv3-P11_UTC190426090853.sgy,FORGE_78-32_iDASv3-P11_UTC190426090853,10.0,12.0,679,1084,1000.0
8,utah_2019__FORGE_78-32_iDASv3-P11_UTC190426090853,utah_2019,utah_2019,utah_2019_1,noise,0,/home/ted1204/MS_Detection_Datamaker/MS_datamaker_UTAH_2019/data/noise/FORGE_78-32_iDASv3-P11_UTC190426090853.sgy,FORGE_78-32_iDASv3-P11_UTC190426090853.sgy,FORGE_78-32_iDASv3-P11_UTC190426090853,13.0,15.0,679,1084,1000.0
9,utah_2019__FORGE_78-32_iDASv3-P11_UTC190426090853,utah_2019,utah_2019,utah_2019_1,noise,0,/home/ted1204/MS_Detection_Datamaker/MS_datamaker_UTAH_2019/data/noise/FORGE_78-32_iDASv3-P11_UTC190426090853.sgy,FORGE_78-32_iDASv3-P11_UTC190426090853.sgy,FORGE_78-32_iDASv3-P11_UTC190426090853,14.0,16.0,679,1084,1000.0
10,utah_2019__FORGE_78-32_iDASv3-P11_UTC190426090853,utah_2019,utah_2019,utah_2019_1,noise,0,/home/ted1204/MS_Detection_Datamaker/MS_datamaker_UTAH_2019/data/noise/FORGE_78-32_iDASv3-P11_UTC190426090853.sgy,FORGE_78-32_iDASv3-P11_UTC190426090853.sgy,FORGE_78-32_iDASv3-P11_UTC190426090853,15.0,17.0,679,1084,1000.0
11,utah_2019__FORGE_78-32_iDASv3-P11_UTC190426090853,utah_2019,utah_2019,utah_2019_1,noise,0,/home/ted1204/MS_Detection_Datamaker/MS_datamaker_UTAH_2019/data/noise/FORGE_78-32_iDASv3-P11_UTC190426090853.sgy,FORGE_78-32_iDASv3-P11_UTC190426090853.sgy,FORGE_78-32_iDASv3-P11_UTC190426090853,17.0,19.0,679,1084,1000.0
12,utah_2019__FORGE_78-32_iDASv3-P11_UTC190426090853,utah_2019,utah_2019,utah_2019_1,noise,0,/home/ted1204/MS_Detection_Datamaker/MS_datamaker_UTAH_2019/data/noise/FORGE_78-32_iDASv3-P11_UTC190426090853.sgy,FORGE_78-32_iDASv3-P11_UTC190426090853.sgy,FORGE_78-32_iDASv3-P11_UTC190426090853,25.0,27.0,679,1084,1000.0
13,utah_2019__FORGE_78-32_iDASv3-P11_UTC190426090853,utah_2019,utah_2019,utah_2019_1,noise,0,/home/ted1204/MS_Detection_Datamaker/MS_datamaker_UTAH_2019/data/noise/FORGE_78-32_iDASv3-P11_UTC190426090853.sgy,FORGE_78-32_iDASv3-P11_UTC190426090853.sgy,FORGE_78-32_iDASv3-P11_UTC190426090853,26.0,28.0,679,1084,1000.0
14,utah_2019__FORGE_78-32_iDASv3-P11_UTC190426090853,utah_2019,utah_2019,utah_2019_1,noise,0,/home/ted1204/MS_Detection_Datamaker/MS_datamaker_UTAH_2019/data/noise/FORGE_78-32_iDASv3-P11_UTC190426090853.sgy,FORGE_78-32_iDASv3-P11_UTC190426090853.sgy,FORGE_78-32_iDASv3-P11_UTC190426090853,27.0,29.0,679,1084,1000.0
15,utah_2019__FORGE_78-32_iDASv3-P11_UTC190426090853,utah_2019,utah_2019,utah_2019_2,noise,0,/home/ted1204/MS_Detection_Datamaker/MS_datamaker_UTAH_2019/data/noise/FORGE_78-32_iDASv3-P11_UTC190426090853.sgy,FORGE_78-32_iDASv3-P11_UTC190426090853.sgy,FORGE_78-32_iDASv3-P11_UTC190426090853,0.0,2.0,273,678,1000.0
16,utah_2019__FORGE_78-32_iDASv3-P11_UTC190426090853,utah_2019,utah_2019,utah_2019_2,noise,0,/home/ted1204/MS_Detection_Datamaker/MS_datamaker_UTAH_2019/data/noise/FORGE_78-32_iDASv3-P11_UTC190426090853.sgy,FORGE_78-32_iDASv3-P11_UTC190426090853.sgy,FORGE_78-32_iDASv3-P11_UTC190426090853,1.0,3.0,273,678,1000.0
17,utah_2019__FORGE_78-32_iDASv3-P11_UTC190426090853,utah_2019,utah_2019,utah_2019_2,noise,0,/home/ted1204/MS_Detection_Datamaker/MS_datamaker_UTAH_2019/data/noise/FORGE_78-32_iDASv3-P11_UTC190426090853.sgy,FORGE_78-32_iDASv3-P11_UTC190426090853.sgy,FORGE_78-32_iDASv3-P11_UTC190426090853,2.0,4.0,273,678,1000.0
18,utah_2019__FORGE_78-32_iDASv3-P11_UTC190426090853,utah_2019,utah_2019,utah_2019_2,noise,0,/home/ted1204/MS_Detection_Datamaker/MS_datamaker_UTAH_2019/data/noise/FORGE_78-32_iDASv3-P11_UTC190426090853.sgy,FORGE_78-32_iDASv3-P11_UTC190426090853.sgy,FORGE_78-32_iDASv3-P11_UTC190426090853,3.0,5.0,273,678,1000.0
19,utah_2019__FORGE_78-32_iDASv3-P11_UTC190426090853,utah_2019,utah_2019,utah_2019_2,noise,0,/home/ted1204/MS_Detection_Datamaker/MS_datamaker_UTAH_2019/data/noise/FORGE_78-32_iDASv3-P11_UTC190426090853.sgy,FORGE_78-32_iDASv3-P11_UTC190426090853.sgy,FORGE_78-32_iDASv3-P11_UTC190426090853,4.0,6.0,273,678,1000.0
20,utah_2019__FORGE_78-32_iDASv3-P11_UTC190426090853,utah_2019,utah_2019,utah_2019_2,noise,0,/home/ted1204/MS_Detection_Datamaker/MS_datamaker_UTAH_2019/data/noise/FORGE_78-32_iDASv3-P11_UTC190426090853.sgy,FORGE_78-32_iDASv3-P11_UTC190426090853.sgy,FORGE_78-32_iDASv3-P11_UTC190426090853,5.0,7.0,273,678,1000.0
21,utah_2019__FORGE_78-32_iDASv3-P11_UTC190426090853,utah_2019,utah_2019,utah_2019_2,noise,0,/home/ted1204/MS_Detection_Datamaker/MS_datamaker_UTAH_2019/data/noise/FORGE_78-32_iDASv3-P11_UTC190426090853.sgy,FORGE_78-32_iDASv3-P11_UTC190426090853.sgy,FORGE_78-32_iDASv3-P11_UTC190426090853,8.0,10.0,273,678,1000.0
22,utah_2019__FORGE_78-32_iDASv3-P11_UTC190426090853,utah_2019,utah_2019,utah_2019_2,noise,0,/home/ted1204/MS_Detection_Datamaker/MS_datamaker_UTAH_2019/data/noise/FORGE_78-32_iDASv3-P11_UTC190426090853.sgy,FORGE_78-32_iDASv3-P11_UTC190426090853.sgy,FORGE_78-32_iDASv3-P11_UTC190426090853,10.0,12.0,273,678,1000.0
23,utah_2019__FORGE_78-32_iDASv3-P11_UTC190426090853,utah_2019,utah_2019,utah_2019_2,noise,0,/home/ted1204/MS_Detection_Datamaker/MS_datamaker_UTAH_2019/data/noise/FORGE_78-32_iDASv3-P11_UTC190426090853.sgy,FORGE_78-32_iDASv3-P11_UTC190426090853.sgy,FORGE_78-32_iDASv3-P11_UTC190426090853,13.0,15.0,273,678,1000.0
24,utah_2019__FORGE_78-32_iDASv3-P11_UTC190426090853,utah_2019,utah_2019,utah_2019_2,noise,0,/home/ted1204/MS_Detection_Datamaker/MS_datamaker_UTAH_2019/data/noise/FORGE_78-32_iDASv3-P11_UTC190426090853.sgy,FORGE_78-32_iDASv3-P11_UTC190426090853.sgy,FORGE_78-32_iDASv3-P11_UTC190426090853,14.0,16.0,273,678,1000.0
25,utah_2019__FORGE_78-32_iDASv3-P11_UTC190426090853,utah_2019,utah_2019,utah_2019_2,noise,0,/home/ted1204/MS_Detection_Datamaker/MS_datamaker_UTAH_2019/data/noise/FORGE_78-32_iDASv3-P11_UTC190426090853.sgy,FORGE_78-32_iDASv3-P11_UTC190426090853.sgy,FORGE_78-32_iDASv3-P11_UTC190426090853,15.0,17.0,273,678,1000.0
26,utah_2019__FORGE_78-32_iDASv3-P11_UTC190426090853,utah_2019,utah_2019,utah_2019_2,noise,0,/home/ted1204/MS_Detection_Datamaker/MS_datamaker_UTAH_2019/data/noise/FORGE_78-32_iDASv3-P11_UTC190426090853.sgy,FORGE_78-32_iDASv3-P11_UTC190426090853.sgy,FORGE_78-32_iDASv3-P11_UTC190426090853,17.0,19.0,273,678,1000.0
27,utah_2019__FORGE_78-32_iDASv3-P11_UTC190426090853,utah_2019,utah_2019,utah_2019_2,noise,0,/home/ted1204/MS_Detection_Datamaker/MS_datamaker_UTAH_2019/data/noise/FORGE_78-32_iDASv3-P11_UTC190426090853.sgy,FORGE_78-32_iDASv3-P11_UTC190426090853.sgy,FORGE_78-32_iDASv3-P11_UTC190426090853,25.0,27.0,273,678,1000.0
28,utah_2019__FORGE_78-32_iDASv3-P11_UTC190426090853,utah_2019,utah_2019,utah_2019_2,noise,0,/home/ted1204/MS_Detection_Datamaker/MS_datamaker_UTAH_2019/data/noise/FORGE_78-32_iDASv3-P11_UTC190426090853.sgy,FORGE_78-32_iDASv3-P11_UTC190426090853.sgy,FORGE_78-32_iDASv3-P11_UTC190426090853,26.0,28.0,273,678,1000.0
