segment_id,group_id,dataset_id,site,view,data_type,label,file_path,file_name,file_stem,start_sec,end_sec,ch_start,ch_end,original_fs
0,utah_2019__FORGE_78-32_iDASv3-P11_UTC190426024208,utah_2019,utah_2019,utah_2019_1,unlabel,2,/home/ted1204/MS_Detection_Datamaker/MS_datamaker_UTAH_2019/data/unlabel/FORGE_78-32_iDASv3-P11_UTC190426024208.sgy,FORGE_78-32_iDASv3-P11_UTC190426024208.sgy,FORGE_78-32_iDASv3-P11_UTC190426024208,0.0,2.0,679,1084,1000.0
1,utah_2019__FORGE_78-32_iDASv3-P11_UTC190426024208,utah_2019,utah_2019,utah_2019_1,unlabel,2,/home/ted1204/MS_Detection_Datamaker/MS_datamaker_UTAH_2019/data/unlabel/FORGE_78-32_iDASv3-P11_UTC190426024208.sgy,FORGE_78-32_iDASv3-P11_UTC190426024208.sgy,FORGE_78-32_iDASv3-P11_UTC190426024208,2.0,4.0,679,1084,1000.0
2,utah_2019__FORGE_78-32_iDASv3-P11_UTC190426024208,utah_2019,utah_2019,utah_2019_1,unlabel,2,/home/ted1204/MS_Detection_Datamaker/MS_datamaker_UTAH_2019/data/unlabel/FORGE_78-32_iDASv3-P11_UTC190426024208.sgy,FORGE_78-32_iDASv3-P11_UTC190426024208.sgy,FORGE_78-32_iDASv3-P11_UTC190426024208,3.0,5.0,679,1084,1000.0
3,utah_2019__FORGE_78-32_iDASv3-P11_UTC190426024208,utah_2019,utah_2019,utah_2019_1,unlabel,2,/home/ted1204/MS_Detection_Datamaker/MS_datamaker_UTAH_2019/data/unlabel/FORGE_78-32_iDASv3-P11_UTC190426024208.sgy,FORGE_78-32_iDASv3-P11_UTC190426024208.sgy,FORGE_78-32_iDASv3-P11_UTC190426024208,5.0,7.0,679,1084,1000.0
4,utah_2019__FORGE_78-32_iDASv3-P11_UTC190426024208,utah_2019,utah_2019,utah_2019_1,unlabel,2,/home/ted1204/MS_Detection_Datamaker/MS_datamaker_UTAH_2019/data/unlabel/FORGE_78-32_iDASv3-P11_UTC190426024208.sgy,FORGE_78-32_iDASv3-P11_UTC190426024208.sgy,FORGE_78-32_iDASv3-P11_UTC190426024208,6.0,8.0,679,1084,1000.0
5,utah_2019__FORGE_78-32_iDASv3-P11_UTC190426024208,utah_2019,utah_2019,utah_2019_1,unlabel,2,/home/ted1204/MS_Detection_Datamaker/MS_datamaker_UTAH_2019/data/unlabel/FORGE_78-32_iDASv3-P11_UTC190426024208.sgy,FORGE_78-32_iDASv3-P11_UTC190426024208.sgy,FORGE_78-32_iDASv3-P11_UTC190426024208,10.0,12.0,679,1084,1000.0
6,utah_2019__FORGE_78-32_iDASv3-P11_UTC190426024208,utah_2019,utah_2019,utah_2019_1,unlabel,2,/home/ted1204/MS_Detection_Datamaker/MS_datamaker_UTAH_2019/data/unlabel/FORGE_78-32_iDASv3-P11_UTC190426024208.sgy,FORGE_78-32_iDASv3-P11_UTC190426024208.sgy,FORGE_78-32_iDASv3-P11_UTC190426024208,12.0,14.0,679,1084,1000.0
7,utah_2019__FORGE_78-32_iDASv3-P11_UTC190426024208,utah_2019,utah_2019,utah_2019_1,unlabel,2,/home/ted1204/MS_Detection_Datamaker/MS_datamaker_UTAH_2019/data/unlabel/FORGE_78-32_iDASv3-P11_UTC190426024208.sgy,FORGE_78-32_iDASv3-P11_UTC190426024208.sgy,FORGE_78-32_iDASv3-P11_UTC190426024208,13.0,15.0,679,1084,1000.0
8,utah_2019__FORGE_78-32_iDASv3-P11_UTC190426024208,utah_2019,utah_2019,utah_2019_1,unlabel,2,/home/ted1204/MS_Detection_Datamaker/MS_datamaker_UTAH_2019/data/unlabel/FORGE_78-32_iDASv3-P11_UTC190426024208.sgy,FORGE_78-32_iDASv3-P11_UTC190426024208.sgy,FORGE_78-32_iDASv3-P11_UTC190426024208,20.0,22.0,679,1084,1000.0
9,utah_2019__FORGE_78-32_iDASv3-P11_UTC190426024208,utah_2019,utah_2019,utah_2019_1,unlabel,2,/home/ted1204/MS_Detection_Datamaker/MS_datamaker_UTAH_2019/data/unlabel/FORGE_78-32_iDASv3-P11_UTC190426024208.sgy,FORGE_78-32_iDASv3-P11_UTC190426024208.sgy,FORGE_78-32_iDASv3-P11_UTC190426024208,22.0,24.0,679,1084,1000.0
10,utah_2019__FORGE_78-32_iDASv3-P11_UTC190426024208,utah_2019,utah_2019,utah_2019_1,unlabel,2,/home/ted1204/MS_Detection_Datamaker/MS_datamaker_UTAH_2019/data/unlabel/FORGE_78-32_iDASv3-P11_UTC190426024208.sgy,FORGE_78-32_iDASv3-P11_UTC190426024208.sgy,FORGE_78-32_iDASv3-P11_UTC190426024208,24.0,26.0,679,1084,1000.0
11,utah_2019__FORGE_78-32_iDASv3-P11_UTC190426024208,utah_2019,utah_2019,utah_2019_1,unlabel,2,/home/ted1204/MS_Detection_Datamaker/MS_datamaker_UTAH_2019/data/unlabel/FORGE_78-32_iDASv3-P11_UTC190426024208.sgy,FORGE_78-32_iDASv3-P11_UTC190426024208.sgy,FORGE_78-32_iDASv3-P11_UTC190426024208,25.0,27.0,679,1084,1000.0
