segment_id,group_id,dataset_id,site,view,data_type,label,file_path,file_name,file_stem,start_sec,end_sec,ch_start,ch_end,original_fs,source_label_csv
0,utah_2023__RAW_20230719_014658.140,utah_2023,utah_2023,utah_2023,noise,0,/home/ted1204/MS_Detection_Datamaker/MS_datamaker_UTAH_2023/data/event_2417/RAW_20230719_014658.140.sgy,RAW_20230719_014658.140.sgy,RAW_20230719_014658.140,0.0,2.0,400,805,1000.0,utah_2023_labels_2s.csv
1,utah_2023__RAW_20230719_014658.140,utah_2023,utah_2023,utah_2023,noise,0,/home/ted1204/MS_Detection_Datamaker/MS_datamaker_UTAH_2023/data/event_2417/RAW_20230719_014658.140.sgy,RAW_20230719_014658.140.sgy,RAW_20230719_014658.140,0.0,2.0,850,1255,1000.0,utah_2023_labels_2s.csv
2,utah_2023__RAW_20230719_014658.140,utah_2023,utah_2023,utah_2023,noise,0,/home/ted1204/MS_Detection_Datamaker/MS_datamaker_UTAH_2023/data/event_2417/RAW_20230719_014658.140.sgy,RAW_20230719_014658.140.sgy,RAW_20230719_014658.140,0.0,2.0,1300,1705,1000.0,utah_2023_labels_2s.csv
3,utah_2023__RAW_20230719_014658.140,utah_2023,utah_2023,utah_2023,noise,0,/home/ted1204/MS_Detection_Datamaker/MS_datamaker_UTAH_2023/data/event_2417/RAW_20230719_014658.140.sgy,RAW_20230719_014658.140.sgy,RAW_20230719_014658.140,0.0,2.0,1750,2155,1000.0,utah_2023_labels_2s.csv
4,utah_2023__RAW_20230719_014658.140,utah_2023,utah_2023,utah_2023,noise,0,/home/ted1204/MS_Detection_Datamaker/MS_datamaker_UTAH_2023/data/event_2417/RAW_20230719_014658.140.sgy,RAW_20230719_014658.140.sgy,RAW_20230719_014658.140,0.0,2.0,2200,2605,1000.0,utah_2023_labels_2s.csv
5,utah_2023__RAW_20230719_014658.140,utah_2023,utah_2023,utah_2023,noise,0,/home/ted1204/MS_Detection_Datamaker/MS_datamaker_UTAH_2023/data/event_2417/RAW_20230719_014658.140.sgy,RAW_20230719_014658.140.sgy,RAW_20230719_014658.140,0.0,2.0,2650,3055,1000.0,utah_2023_labels_2s.csv
6,utah_2023__RAW_20230719_015052.760,utah_2023,utah_2023,utah_2023,noise,0,/home/ted1204/MS_Detection_Datamaker/MS_datamaker_UTAH_2023/data/event_2417/RAW_20230719_015052.760.sgy,RAW_20230719_015052.760.sgy,RAW_20230719_015052.760,0.0,2.0,400,805,1000.0,utah_2023_labels_2s.csv
7,utah_2023__RAW_20230719_015052.760,utah_2023,utah_2023,utah_2023,noise,0,/home/ted1204/MS_Detection_Datamaker/MS_datamaker_UTAH_2023/data/event_2417/RAW_20230719_015052.760.sgy,RAW_20230719_015052.760.sgy,RAW_20230719_015052.760,0.0,2.0,850,1255,1000.0,utah_2023_labels_2s.csv
8,utah_2023__RAW_20230719_015052.760,utah_2023,utah_2023,utah_2023,noise,0,/home/ted1204/MS_Detection_Datamaker/MS_datamaker_UTAH_2023/data/event_2417/RAW_20230719_015052.760.sgy,RAW_20230719_015052.760.sgy,RAW_20230719_015052.760,0.0,2.0,1300,1705,1000.0,utah_2023_labels_2s.csv
9,utah_2023__RAW_20230719_015052.760,utah_2023,utah_2023,utah_2023,noise,0,/home/ted1204/MS_Detection_Datamaker/MS_datamaker_UTAH_2023/data/event_2417/RAW_20230719_015052.760.sgy,RAW_20230719_015052.760.sgy,RAW_20230719_015052.760,0.0,2.0,1750,2155,1000.0,utah_2023_labels_2s.csv
10,utah_2023__RAW_20230719_015052.760,utah_2023,utah_2023,utah_2023,noise,0,/home/ted1204/MS_Detection_Datamaker/MS_datamaker_UTAH_2023/data/event_2417/RAW_20230719_015052.760.sgy,RAW_20230719_015052.760.sgy,RAW_20230719_015052.760,0.0,2.0,2200,2605,1000.0,utah_2023_labels_2s.csv
11,utah_2023__RAW_20230719_015052.760,utah_2023,utah_2023,utah_2023,noise,0,/home/ted1204/MS_Detection_Datamaker/MS_datamaker_UTAH_2023/data/event_2417/RAW_20230719_015052.760.sgy,RAW_20230719_015052.760.sgy,RAW_20230719_015052.760,0.0,2.0,2650,3055,1000.0,utah_2023_labels_2s.csv
12,utah_2023__RAW_20230719_015140.420,utah_2023,utah_2023,utah_2023,noise,0,/home/ted1204/MS_Detection_Datamaker/MS_datamaker_UTAH_2023/data/event_2417/RAW_20230719_015140.420.sgy,RAW_20230719_015140.420.sgy,RAW_20230719_015140.420,0.0,2.0,400,805,1000.0,utah_2023_labels_2s.csv
13,utah_2023__RAW_20230719_015140.420,utah_2023,utah_2023,utah_2023,noise,0,/home/ted1204/MS_Detection_Datamaker/MS_datamaker_UTAH_2023/data/event_2417/RAW_20230719_015140.420.sgy,RAW_20230719_015140.420.sgy,RAW_20230719_015140.420,0.0,2.0,850,1255,1000.0,utah_2023_labels_2s.csv
14,utah_2023__RAW_20230719_015140.420,utah_2023,utah_2023,utah_2023,noise,0,/home/ted1204/MS_Detection_Datamaker/MS_datamaker_UTAH_2023/data/event_2417/RAW_20230719_015140.420.sgy,RAW_20230719_015140.420.sgy,RAW_20230719_015140.420,0.0,2.0,1300,1705,1000.0,utah_2023_labels_2s.csv
15,utah_2023__RAW_20230719_015140.420,utah_2023,utah_2023,utah_2023,noise,0,/home/ted1204/MS_Detection_Datamaker/MS_datamaker_UTAH_2023/data/event_2417/RAW_20230719_015140.420.sgy,RAW_20230719_015140.420.sgy,RAW_20230719_015140.420,0.0,2.0,1750,2155,1000.0,utah_2023_labels_2s.csv
