dataset_id,site,view,data_type,file_path,file_name,file_stem,ext,group_id,original_fs,ch_start,ch_end
pohang,pohang,pohang,event,/home/ted1204/MS_Detection_Datamaker/MS_datamaker_PH/data/event/1khz_50ns_20deci_2m_UTC+0900_DST0_20190522_233159.387.tdms,1khz_50ns_20deci_2m_UTC+0900_DST0_20190522_233159.387.tdms,1khz_50ns_20deci_2m_UTC+0900_DST0_20190522_233159.387,.tdms,pohang__1khz_50ns_20deci_2m_UTC+0900_DST0_20190522_233159.387,1000.0,243,648
pohang,pohang,pohang,event,/home/ted1204/MS_Detection_Datamaker/MS_datamaker_PH/data/event/1khz_50ns_20deci_2m_UTC+0900_DST0_20190522_233459.387.tdms,1khz_50ns_20deci_2m_UTC+0900_DST0_20190522_233459.387.tdms,1khz_50ns_20deci_2m_UTC+0900_DST0_20190522_233459.387,.tdms,pohang__1khz_50ns_20deci_2m_UTC+0900_DST0_20190522_233459.387,1000.0,243,648
pohang,pohang,pohang,event,/home/ted1204/MS_Detection_Datamaker/MS_datamaker_PH/data/event/1khz_50ns_20deci_2m_UTC+0900_DST0_20190522_233559.387.tdms,1khz_50ns_20deci_2m_UTC+0900_DST0_20190522_233559.387.tdms,1khz_50ns_20deci_2m_UTC+0900_DST0_20190522_233559.387,.tdms,pohang__1khz_50ns_20deci_2m_UTC+0900_DST0_20190522_233559.387,1000.0,243,648
pohang,pohang,pohang,event,/home/ted1204/MS_Detection_Datamaker/MS_datamaker_PH/data/event/1khz_50ns_20deci_2m_UTC+0900_DST0_20190523_004459.387.tdms,1khz_50ns_20deci_2m_UTC+0900_DST0_20190523_004459.387.tdms,1khz_50ns_20deci_2m_UTC+0900_DST0_20190523_004459.387,.tdms,pohang__1khz_50ns_20deci_2m_UTC+0900_DST0_20190523_004459.387,1000.0,243,648
pohang,pohang,pohang,event,/home/ted1204/MS_Detection_Datamaker/MS_datamaker_PH/data/event/1khz_50ns_20deci_2m_UTC+0900_DST0_20190523_110459.387.tdms,1khz_50ns_20deci_2m_UTC+0900_DST0_20190523_110459.387.tdms,1khz_50ns_20deci_2m_UTC+0900_DST0_20190523_110459.387,.tdms,pohang__1khz_50ns_20deci_2m_UTC+0900_DST0_20190523_110459.387,1000.0,243,648
pohang,pohang,pohang,event,/home/ted1204/MS_Detection_Datamaker/MS_datamaker_PH/data/event/1khz_50ns_20deci_2m_UTC+0900_DST0_20190523_190159.387.tdms,1khz_50ns_20deci_2m_UTC+0900_DST0_20190523_190159.387.tdms,1khz_50ns_20deci_2m_UTC+0900_DST0_20190523_190159.387,.tdms,pohang__1khz_50ns_20deci_2m_UTC+0900_DST0_20190523_190159.387,1000.0,243,648
pohang,pohang,pohang,event,/home/ted1204/MS_Detection_Datamaker/MS_datamaker_PH/data/event/1khz_50ns_20deci_2m_UTC+0900_DST0_20190524_233259.387.tdms,1khz_50ns_20deci_2m_UTC+0900_DST0_20190524_233259.387.tdms,1khz_50ns_20deci_2m_UTC+0900_DST0_20190524_233259.387,.tdms,pohang__1khz_50ns_20deci_2m_UTC+0900_DST0_20190524_233259.387,1000.0,243,648
pohang,pohang,pohang,event,/home/ted1204/MS_Detection_Datamaker/MS_datamaker_PH/data/event/1khz_50ns_20deci_2m_UTC+0900_DST0_20190525_013759.387.tdms,1khz_50ns_20deci_2m_UTC+0900_DST0_20190525_013759.387.tdms,1khz_50ns_20deci_2m_UTC+0900_DST0_20190525_013759.387,.tdms,pohang__1khz_50ns_20deci_2m_UTC+0900_DST0_20190525_013759.387,1000.0,243,648
pohang,pohang,pohang,event,/home/ted1204/MS_Detection_Datamaker/MS_datamaker_PH/data/event/1khz_50ns_20deci_2m_UTC+0900_DST0_20190525_050759.387.tdms,1khz_50ns_20deci_2m_UTC+0900_DST0_20190525_050759.387.tdms,1khz_50ns_20deci_2m_UTC+0900_DST0_20190525_050759.387,.tdms,pohang__1khz_50ns_20deci_2m_UTC+0900_DST0_20190525_050759.387,1000.0,243,648
pohang,pohang,pohang,event,/home/ted1204/MS_Detection_Datamaker/MS_datamaker_PH/data/event/1khz_50ns_20deci_2m_UTC+0900_DST0_20190525_074059.387.tdms,1khz_50ns_20deci_2m_UTC+0900_DST0_20190525_074059.387.tdms,1khz_50ns_20deci_2m_UTC+0900_DST0_20190525_074059.387,.tdms,pohang__1khz_50ns_20deci_2m_UTC+0900_DST0_20190525_074059.387,1000.0,243,648
