site,tdms_file,seg_png,confidence,note,segment_index,start_sec,end_sec,is_event,src_segment_indices,src_event_flags
pohang,1khz_50ns_20deci_2m_UTC+0900_DST0_20190623_184121.825.tdms,0000_1khz_50ns_20deci_2m_UTC+0900_DST0_20190623_184121.825\seg_000.png,,,0,0.0,2.0,0,"0,1","0,0"
pohang,1khz_50ns_20deci_2m_UTC+0900_DST0_20190623_184121.825.tdms,0000_1khz_50ns_20deci_2m_UTC+0900_DST0_20190623_184121.825\seg_001.png,,,1,1.0,3.0,0,"1,2","0,0"
pohang,1khz_50ns_20deci_2m_UTC+0900_DST0_20190623_184121.825.tdms,0000_1khz_50ns_20deci_2m_UTC+0900_DST0_20190623_184121.825\seg_002.png,,,2,2.0,4.0,0,"2,3","0,0"
pohang,1khz_50ns_20deci_2m_UTC+0900_DST0_20190623_184121.825.tdms,0000_1khz_50ns_20deci_2m_UTC+0900_DST0_20190623_184121.825\seg_003.png,,,3,3.0,5.0,0,"3,4","0,0"
pohang,1khz_50ns_20deci_2m_UTC+0900_DST0_20190623_184121.825.tdms,0000_1khz_50ns_20deci_2m_UTC+0900_DST0_20190623_184121.825\seg_004.png,,,4,4.0,6.0,0,"4,5","0,0"
pohang,1khz_50ns_20deci_2m_UTC+0900_DST0_20190623_184121.825.tdms,0000_1khz_50ns_20deci_2m_UTC+0900_DST0_20190623_184121.825\seg_005.png,,,5,5.0,7.0,0,"5,6","0,0"
pohang,1khz_50ns_20deci_2m_UTC+0900_DST0_20190623_184121.825.tdms,0000_1khz_50ns_20deci_2m_UTC+0900_DST0_20190623_184121.825\seg_006.png,,,6,6.0,8.0,0,"6,7","0,0"
pohang,1khz_50ns_20deci_2m_UTC+0900_DST0_20190623_184121.825.tdms,0000_1khz_50ns_20deci_2m_UTC+0900_DST0_20190623_184121.825\seg_007.png,,,7,7.0,9.0,0,"7,8","0,0"
pohang,1khz_50ns_20deci_2m_UTC+0900_DST0_20190623_184121.825.tdms,0000_1khz_50ns_20deci_2m_UTC+0900_DST0_20190623_184121.825\seg_008.png,,,8,8.0,10.0,0,"8,9","0,0"
pohang,1khz_50ns_20deci_2m_UTC+0900_DST0_20190623_184121.825.tdms,0000_1khz_50ns_20deci_2m_UTC+0900_DST0_20190623_184121.825\seg_009.png,,,9,9.0,11.0,0,"9,10","0,0"
pohang,1khz_50ns_20deci_2m_UTC+0900_DST0_20190623_184121.825.tdms,0000_1khz_50ns_20deci_2m_UTC+0900_DST0_20190623_184121.825\seg_010.png,,,10,10.0,12.0,0,"10,11","0,0"
pohang,1khz_50ns_20deci_2m_UTC+0900_DST0_20190623_184121.825.tdms,0000_1khz_50ns_20deci_2m_UTC+0900_DST0_20190623_184121.825\seg_011.png,,,11,11.0,13.0,0,"11,12","0,0"
