site,tdms_file,seg_png,segment_index,start_sec,end_sec,is_event,confidence,note
utah_upper,FORGE_78-32_iDASv3-P11_UTC190427171923.sgy,0000_FORGE_78-32_iDASv3-P11_UTC190427171923\seg_000.png,0,0,1,0,,
utah_upper,FORGE_78-32_iDASv3-P11_UTC190427171923.sgy,0000_FORGE_78-32_iDASv3-P11_UTC190427171923\seg_001.png,1,1,2,0,,
utah_upper,FORGE_78-32_iDASv3-P11_UTC190427171923.sgy,0000_FORGE_78-32_iDASv3-P11_UTC190427171923\seg_002.png,2,2,3,0,,
utah_upper,FORGE_78-32_iDASv3-P11_UTC190427171923.sgy,0000_FORGE_78-32_iDASv3-P11_UTC190427171923\seg_003.png,3,3,4,0,,
utah_upper,FORGE_78-32_iDASv3-P11_UTC190427171923.sgy,0000_FORGE_78-32_iDASv3-P11_UTC190427171923\seg_004.png,4,4,5,0,,
utah_upper,FORGE_78-32_iDASv3-P11_UTC190427171923.sgy,0000_FORGE_78-32_iDASv3-P11_UTC190427171923\seg_005.png,5,5,6,0,,
utah_upper,FORGE_78-32_iDASv3-P11_UTC190427171923.sgy,0000_FORGE_78-32_iDASv3-P11_UTC190427171923\seg_006.png,6,6,7,0,,
utah_upper,FORGE_78-32_iDASv3-P11_UTC190427171923.sgy,0000_FORGE_78-32_iDASv3-P11_UTC190427171923\seg_007.png,7,7,8,0,,
utah_upper,FORGE_78-32_iDASv3-P11_UTC190427171923.sgy,0000_FORGE_78-32_iDASv3-P11_UTC190427171923\seg_008.png,8,8,9,0,,
utah_upper,FORGE_78-32_iDASv3-P11_UTC190427171923.sgy,0000_FORGE_78-32_iDASv3-P11_UTC190427171923\seg_009.png,9,9,10,0,,
utah_upper,FORGE_78-32_iDASv3-P11_UTC190427171923.sgy,0000_FORGE_78-32_iDASv3-P11_UTC190427171923\seg_010.png,10,10,11,0,,
utah_upper,FORGE_78-32_iDASv3-P11_UTC190427171923.sgy,0000_FORGE_78-32_iDASv3-P11_UTC190427171923\seg_011.png,11,11,12,0,,
utah_upper,FORGE_78-32_iDASv3-P11_UTC190427171923.sgy,0000_FORGE_78-32_iDASv3-P11_UTC190427171923\seg_012.png,12,12,13,0,,
