Channel,Fiber distance (m),Northing (m),Easting (m),Depth (m)
1,0.3538,,,
2,1.3787,,,
3,2.4036,,,
4,3.4285,,,
5,4.4535,,,
6,5.4784,,,
7,6.5033,,,
8,7.5282,,,
9,8.5531,,,
10,9.578,,,
11,10.6029,,,
12,11.6278,,,
13,12.6527,,,
14,13.6776,,,
15,14.7025,,,
16,15.7274,,,
17,16.7523,,,
18,17.7772,,,
19,18.8021,,,
20,19.827,,,
21,20.8519,,,
22,21.8768,,,
23,22.9017,,,
24,23.9266,,,
25,24.9515,,,
26,25.9764,,,
27,27.0013,,,
28,28.0262,,,
29,29.0511,,,
30,30.076,,,
31,31.101,,,
32,32.1259,,,
33,33.1508,,,
34,34.1757,,,
35,35.2006,,,
36,36.2255,,,
37,37.2504,,,
38,38.2753,,,
39,39.3002,,,
40,40.3251,,,
41,41.35,,,
42,42.3749,,,
43,43.3998,,,
44,44.4247,,,
45,45.4496,,,
46,46.4745,,,
47,47.4994,,,
48,48.5243,,,
49,49.5492,,,
50,50.5741,,,
51,51.599,,,
52,52.6239,,,
53,53.6488,,,
54,54.6737,,,
55,55.6986,,,
56,56.7235,,,
57,57.7484,,,
58,58.7734,,,
59,59.7983,,,
60,60.8232,,,
61,61.8481,,,
62,62.873,,,
63,63.8979,,,
64,64.9228,,,
65,65.9477,,,
66,66.9726,,,
67,67.9975,,,
68,69.0224,,,
69,70.0473,,,
70,71.0722,,,
71,72.0971,,,
72,73.122,,,
73,74.1469,,,
74,75.1718,,,
75,76.1967,,,
76,77.2216,,,
77,78.2465,,,
78,79.2714,,,
79,80.2963,,,
80,81.3212,,,
81,82.3461,,,
82,83.371,,,
83,84.3959,,,
84,85.4209,,,
85,86.4458,,,
86,87.4707,,,
87,88.4956,,,
88,89.5205,,,
89,90.5454,,,
90,91.5703,,,
91,92.5952,,,
92,93.6201,,,
93,94.645,,,
94,95.6699,,,
95,96.6948,,,
96,97.7197,,,
97,98.7446,,,
98,99.7695,,,
99,100.7944,,,
100,101.8193,,,
101,102.8442,,,
102,103.8691,,,
103,104.894,,,
104,105.9189,,,
105,106.9438,,,
106,107.9687,,,
107,108.9936,,,
108,110.0185,,,
109,111.0434,,,
110,112.0683,,,
111,113.0933,,,
112,114.1182,,,
113,115.1431,,,
114,116.168,,,
115,117.1929,,,
116,118.2178,,,
117,119.2427,,,
118,120.2676,,,
119,121.2925,,,
120,122.3174,,,
121,123.3423,,,
122,124.3672,,,
123,125.3921,,,
124,126.417,,,
125,127.4419,,,
126,128.4668,,,
127,129.4917,,,
128,130.5166,,,
129,131.5415,,,
130,132.5664,,,
131,133.5913,,,
132,134.6162,,,
133,135.6411,,,
134,136.666,,,
135,137.6909,,,
136,138.7158,,,
137,139.7408,,,
138,140.7657,,,
139,141.7906,,,
140,142.8155,,,
141,143.8404,,,
142,144.8653,,,
143,145.8902,,,
144,146.9151,,,
145,147.94,,,
146,148.9649,,,
147,149.9898,,,
148,151.0147,,,
149,152.0396,,,
150,153.0645,,,
151,154.0894,,,
152,155.1143,,,
153,156.1392,,,
154,157.1641,,,
155,158.189,,,
156,159.2139,,,
157,160.2388,,,
158,161.2637,,,
159,162.2886,,,
160,163.3135,,,
161,164.3384,,,
162,165.3633,,,
163,166.3883,,,
164,167.4132,,,
165,168.4381,,,
166,169.463,,,
167,170.4879,,,
168,171.5128,,,
169,172.5377,,,
170,173.5626,,,
171,174.5875,,,
172,175.6124,,,
173,176.6373,,,
174,177.6622,,,
175,178.6871,,,
176,179.712,4263471.06,334642.08,-1660.44
177,180.7369,4263471.07,334642.08,-1659.42
178,181.7618,4263471.07,334642.08,-1658.39
179,182.7867,4263471.07,334642.08,-1657.37
180,183.8116,4263471.07,334642.09,-1656.34
181,184.8365,4263471.07,334642.09,-1655.32
182,185.8614,4263471.07,334642.09,-1654.29
183,186.8863,4263471.07,334642.09,-1653.27
184,187.9112,4263471.08,334642.09,-1652.24
185,188.9361,4263471.08,334642.1,-1651.22
186,189.961,4263471.08,334642.1,-1650.19
187,190.9859,4263471.09,334642.11,-1649.17
188,192.0108,4263471.09,334642.11,-1648.14
189,193.0357,4263471.09,334642.12,-1647.12
190,194.0607,4263471.1,334642.12,-1646.1
191,195.0856,4263471.1,334642.13,-1645.07
192,196.1105,4263471.11,334642.13,-1644.05
193,197.1354,4263471.11,334642.14,-1643.02
194,198.1603,4263471.12,334642.14,-1642
195,199.1852,4263471.12,334642.15,-1640.97
196,200.2101,4263471.13,334642.15,-1639.95
197,201.235,4263471.13,334642.16,-1638.92
198,202.2599,4263471.14,334642.16,-1637.9
199,203.2848,4263471.14,334642.17,-1636.87
200,204.3097,4263471.14,334642.17,-1635.85
201,205.3346,4263471.15,334642.17,-1634.82
202,206.3595,4263471.15,334642.18,-1633.8
203,207.3844,4263471.15,334642.18,-1632.77
204,208.4093,4263471.16,334642.18,-1631.75
205,209.4342,4263471.16,334642.19,-1630.72
206,210.4591,4263471.16,334642.19,-1629.7
207,211.484,4263471.16,334642.19,-1628.67
208,212.5089,4263471.16,334642.2,-1627.65
209,213.5338,4263471.15,334642.2,-1626.62
210,214.5587,4263471.15,334642.21,-1625.6
211,215.5836,4263471.15,334642.21,-1624.57
212,216.6085,4263471.15,334642.22,-1623.55
213,217.6334,4263471.14,334642.22,-1622.52
214,218.6583,4263471.14,334642.23,-1621.5
215,219.6832,4263471.14,334642.24,-1620.47
216,220.7082,4263471.13,334642.25,-1619.45
217,221.7331,4263471.13,334642.26,-1618.42
218,222.758,4263471.12,334642.27,-1617.4
219,223.7829,4263471.12,334642.28,-1616.37
220,224.8078,4263471.11,334642.29,-1615.35
221,225.8327,4263471.11,334642.3,-1614.32
222,226.8576,4263471.11,334642.31,-1613.3
223,227.8825,4263471.11,334642.32,-1612.27
224,228.9074,4263471.11,334642.33,-1611.25
225,229.9323,4263471.11,334642.34,-1610.22
226,230.9572,4263471.11,334642.35,-1609.2
227,231.9821,4263471.11,334642.36,-1608.17
228,233.007,4263471.11,334642.37,-1607.15
229,234.0319,4263471.12,334642.38,-1606.12
230,235.0568,4263471.12,334642.39,-1605.1
231,236.0817,4263471.12,334642.4,-1604.08
232,237.1066,4263471.13,334642.41,-1603.05
233,238.1315,4263471.13,334642.42,-1602.03
234,239.1564,4263471.13,334642.43,-1601
235,240.1813,4263471.14,334642.44,-1599.98
236,241.2062,4263471.14,334642.44,-1598.95
237,242.2311,4263471.14,334642.45,-1597.93
238,243.256,4263471.15,334642.45,-1596.9
239,244.2809,4263471.15,334642.46,-1595.88
240,245.3058,4263471.15,334642.46,-1594.85
241,246.3307,4263471.16,334642.47,-1593.83
242,247.3557,4263471.16,334642.48,-1592.8
243,248.3806,4263471.17,334642.48,-1591.78
244,249.4055,4263471.17,334642.48,-1590.75
245,250.4304,4263471.17,334642.49,-1589.73
246,251.4553,4263471.17,334642.49,-1588.7
247,252.4802,4263471.17,334642.49,-1587.68
248,253.5051,4263471.17,334642.49,-1586.65
249,254.53,4263471.17,334642.5,-1585.63
250,255.5549,4263471.17,334642.5,-1584.6
251,256.5798,4263471.17,334642.5,-1583.58
252,257.6047,4263471.17,334642.51,-1582.55
253,258.6296,4263471.16,334642.51,-1581.53
254,259.6545,4263471.16,334642.52,-1580.5
255,260.6794,4263471.16,334642.52,-1579.48
256,261.7043,4263471.16,334642.53,-1578.45
257,262.7292,4263471.15,334642.53,-1577.43
258,263.7541,4263471.15,334642.54,-1576.4
259,264.779,4263471.14,334642.54,-1575.38
260,265.8039,4263471.14,334642.55,-1574.35
261,266.8288,4263471.14,334642.56,-1573.33
262,267.8537,4263471.13,334642.57,-1572.31
263,268.8786,4263471.13,334642.57,-1571.28
264,269.9035,4263471.12,334642.58,-1570.26
265,270.9284,4263471.12,334642.59,-1569.23
266,271.9533,4263471.12,334642.6,-1568.21
267,272.9782,4263471.11,334642.61,-1567.18
268,274.0031,4263471.11,334642.62,-1566.16
269,275.0281,4263471.11,334642.63,-1565.13
270,276.053,4263471.1,334642.64,-1564.11
271,277.0779,4263471.1,334642.65,-1563.08
272,278.1028,4263471.09,334642.66,-1562.06
273,279.1277,4263471.09,334642.67,-1561.03
274,280.1526,4263471.09,334642.68,-1560.01
275,281.1775,4263471.09,334642.7,-1558.98
276,282.2024,4263471.09,334642.71,-1557.96
277,283.2273,4263471.09,334642.73,-1556.93
278,284.2522,4263471.09,334642.74,-1555.91
279,285.2771,4263471.09,334642.75,-1554.88
280,286.302,4263471.09,334642.77,-1553.86
281,287.3269,4263471.09,334642.78,-1552.83
282,288.3518,4263471.1,334642.79,-1551.81
283,289.3767,4263471.1,334642.81,-1550.78
284,290.4016,4263471.1,334642.82,-1549.76
285,291.4265,4263471.11,334642.83,-1548.73
286,292.4514,4263471.11,334642.84,-1547.71
287,293.4763,4263471.11,334642.86,-1546.68
288,294.5012,4263471.12,334642.87,-1545.66
289,295.5261,4263471.12,334642.88,-1544.63
290,296.551,4263471.12,334642.89,-1543.61
291,297.5759,4263471.13,334642.9,-1542.58
292,298.6008,4263471.13,334642.91,-1541.56
293,299.6257,4263471.13,334642.92,-1540.53
294,300.6506,4263471.14,334642.93,-1539.51
295,301.6756,4263471.14,334642.94,-1538.48
296,302.7005,4263471.14,334642.95,-1537.46
297,303.7254,4263471.14,334642.96,-1536.43
298,304.7503,4263471.14,334642.97,-1535.41
299,305.7752,4263471.15,334642.97,-1534.39
300,306.8001,4263471.15,334642.98,-1533.36
301,307.825,4263471.15,334642.99,-1532.34
302,308.8499,4263471.15,334643,-1531.31
303,309.8748,4263471.15,334643.01,-1530.29
304,310.8997,4263471.15,334643.01,-1529.26
305,311.9246,4263471.15,334643.02,-1528.24
306,312.9495,4263471.15,334643.03,-1527.21
307,313.9744,4263471.14,334643.04,-1526.19
308,314.9993,4263471.14,334643.04,-1525.16
309,316.0242,4263471.14,334643.05,-1524.14
310,317.0491,4263471.14,334643.06,-1523.11
311,318.074,4263471.14,334643.07,-1522.09
312,319.0989,4263471.13,334643.07,-1521.06
313,320.1238,4263471.13,334643.08,-1520.04
314,321.1487,4263471.13,334643.09,-1519.01
315,322.1736,4263471.12,334643.1,-1517.99
316,323.1985,4263471.12,334643.11,-1516.96
317,324.2234,4263471.11,334643.12,-1515.94
318,325.2483,4263471.11,334643.13,-1514.91
319,326.2732,4263471.1,334643.14,-1513.89
320,327.2981,4263471.1,334643.15,-1512.86
321,328.323,4263471.09,334643.16,-1511.84
322,329.348,4263471.09,334643.18,-1510.81
323,330.3729,4263471.09,334643.19,-1509.79
324,331.3978,4263471.08,334643.2,-1508.76
325,332.4227,4263471.08,334643.21,-1507.74
326,333.4476,4263471.07,334643.23,-1506.71
327,334.4725,4263471.07,334643.25,-1505.69
328,335.4974,4263471.07,334643.26,-1504.66
329,336.5223,4263471.07,334643.28,-1503.64
330,337.5472,4263471.06,334643.3,-1502.61
331,338.5721,4263471.06,334643.31,-1501.59
332,339.597,4263471.06,334643.33,-1500.56
333,340.6219,4263471.06,334643.35,-1499.54
334,341.6468,4263471.06,334643.37,-1498.52
335,342.6717,4263471.06,334643.39,-1497.49
336,343.6966,4263471.07,334643.41,-1496.47
337,344.7215,4263471.07,334643.43,-1495.44
338,345.7464,4263471.07,334643.45,-1494.42
339,346.7713,4263471.07,334643.47,-1493.39
340,347.7962,4263471.08,334643.48,-1492.37
341,348.8211,4263471.08,334643.5,-1491.34
342,349.846,4263471.08,334643.52,-1490.32
343,350.8709,4263471.09,334643.54,-1489.29
344,351.8958,4263471.09,334643.56,-1488.27
345,352.9207,4263471.1,334643.57,-1487.24
346,353.9456,4263471.1,334643.59,-1486.22
347,354.9705,4263471.11,334643.61,-1485.19
348,355.9955,4263471.11,334643.62,-1484.17
349,357.0204,4263471.12,334643.64,-1483.14
350,358.0453,4263471.12,334643.65,-1482.12
351,359.0702,4263471.13,334643.67,-1481.09
352,360.0951,4263471.13,334643.68,-1480.07
353,361.12,4263471.13,334643.7,-1479.04
354,362.1449,4263471.14,334643.71,-1478.02
355,363.1698,4263471.14,334643.73,-1477
356,364.1947,4263471.14,334643.75,-1475.97
357,365.2196,4263471.15,334643.76,-1474.95
358,366.2445,4263471.15,334643.78,-1473.92
359,367.2694,4263471.15,334643.79,-1472.9
360,368.2943,4263471.15,334643.81,-1471.87
361,369.3192,4263471.15,334643.83,-1470.85
362,370.3441,4263471.15,334643.84,-1469.82
363,371.369,4263471.15,334643.86,-1468.8
364,372.3939,4263471.15,334643.87,-1467.77
365,373.4188,4263471.15,334643.89,-1466.75
366,374.4437,4263471.15,334643.91,-1465.72
367,375.4686,4263471.15,334643.92,-1464.7
368,376.4935,4263471.15,334643.94,-1463.67
369,377.5184,4263471.15,334643.96,-1462.65
370,378.5433,4263471.15,334643.98,-1461.62
371,379.5682,4263471.15,334644,-1460.6
372,380.5931,4263471.14,334644.02,-1459.58
373,381.618,4263471.14,334644.04,-1458.55
374,382.643,4263471.14,334644.06,-1457.53
375,383.6679,4263471.13,334644.09,-1456.5
376,384.6928,4263471.13,334644.11,-1455.48
377,385.7177,4263471.13,334644.13,-1454.45
378,386.7426,4263471.13,334644.16,-1453.43
379,387.7675,4263471.13,334644.19,-1452.4
380,388.7924,4263471.13,334644.21,-1451.38
381,389.8173,4263471.13,334644.24,-1450.36
382,390.8422,4263471.13,334644.27,-1449.33
383,391.8671,4263471.13,334644.3,-1448.31
384,392.892,4263471.13,334644.32,-1447.28
385,393.9169,4263471.13,334644.35,-1446.26
386,394.9418,4263471.14,334644.38,-1445.23
387,395.9667,4263471.14,334644.4,-1444.21
388,396.9916,4263471.14,334644.43,-1443.18
389,398.0165,4263471.15,334644.46,-1442.16
390,399.0414,4263471.15,334644.48,-1441.13
391,400.0663,4263471.15,334644.51,-1440.11
392,401.0912,4263471.16,334644.54,-1439.08
393,402.1161,4263471.16,334644.56,-1438.06
394,403.141,4263471.17,334644.58,-1437.03
395,404.1659,4263471.17,334644.61,-1436.01
