[INFO] mapping csv loaded: ./FORGE_DAS_Circulation2023_ChannelMapping.csv
[INFO] y-axis values: Depth (m)
[INFO] data_dir=./data/event_2417
[INFO] num_files=257
[INFO] splits=[(2200, 2605), (2650, 3055), (3100, 3505), (3550, 3955)]
[INFO] win_sec=2.0, stride_sec=1.0
[INFO] done 1/257 | RAW_20230719_014658.140.sgy | split_01_ch2200_2605
[INFO] done 1/257 | RAW_20230719_014658.140.sgy | split_02_ch2650_3055
[INFO] done 1/257 | RAW_20230719_014658.140.sgy | split_03_ch3100_3505
[INFO] done 1/257 | RAW_20230719_014658.140.sgy | split_04_ch3550_3955
[INFO] done 2/257 | RAW_20230719_015052.760.sgy | split_01_ch2200_2605
[INFO] done 2/257 | RAW_20230719_015052.760.sgy | split_02_ch2650_3055
[INFO] done 2/257 | RAW_20230719_015052.760.sgy | split_03_ch3100_3505
[INFO] done 2/257 | RAW_20230719_015052.760.sgy | split_04_ch3550_3955
[INFO] done 3/257 | RAW_20230719_015140.420.sgy | split_01_ch2200_2605
[INFO] done 3/257 | RAW_20230719_015140.420.sgy | split_02_ch2650_3055
[INFO] done 3/257 | RAW_20230719_015140.420.sgy | split_03_ch3100_3505
[INFO] done 3/257 | RAW_20230719_015140.420.sgy | split_04_ch3550_3955
[INFO] done 4/257 | RAW_20230719_021049.840.sgy | split_01_ch2200_2605
[INFO] done 4/257 | RAW_20230719_021049.840.sgy | split_02_ch2650_3055
[INFO] done 4/257 | RAW_20230719_021049.840.sgy | split_03_ch3100_3505
[INFO] done 4/257 | RAW_20230719_021049.840.sgy | split_04_ch3550_3955
[INFO] done 5/257 | RAW_20230719_021757.860.sgy | split_01_ch2200_2605
[INFO] done 5/257 | RAW_20230719_021757.860.sgy | split_02_ch2650_3055
[INFO] done 5/257 | RAW_20230719_021757.860.sgy | split_03_ch3100_3505
[INFO] done 5/257 | RAW_20230719_021757.860.sgy | split_04_ch3550_3955
[INFO] done 6/257 | RAW_20230719_022127.800.sgy | split_01_ch2200_2605
[INFO] done 6/257 | RAW_20230719_022127.800.sgy | split_02_ch2650_3055
[INFO] done 6/257 | RAW_20230719_022127.800.sgy | split_03_ch3100_3505
[INFO] done 6/257 | RAW_20230719_022127.800.sgy | split_04_ch3550_3955
[INFO] done 7/257 | RAW_20230719_022252.220.sgy | split_01_ch2200_2605
[INFO] done 7/257 | RAW_20230719_022252.220.sgy | split_02_ch2650_3055
[INFO] done 7/257 | RAW_20230719_022252.220.sgy | split_03_ch3100_3505
[INFO] done 7/257 | RAW_20230719_022252.220.sgy | split_04_ch3550_3955
[INFO] done 8/257 | RAW_20230719_023754.260.sgy | split_01_ch2200_2605
[INFO] done 8/257 | RAW_20230719_023754.260.sgy | split_02_ch2650_3055
[INFO] done 8/257 | RAW_20230719_023754.260.sgy | split_03_ch3100_3505
[INFO] done 8/257 | RAW_20230719_023754.260.sgy | split_04_ch3550_3955
[INFO] done 9/257 | RAW_20230719_025343.140.sgy | split_01_ch2200_2605
[INFO] done 9/257 | RAW_20230719_025343.140.sgy | split_02_ch2650_3055
[INFO] done 9/257 | RAW_20230719_025343.140.sgy | split_03_ch3100_3505
[INFO] done 9/257 | RAW_20230719_025343.140.sgy | split_04_ch3550_3955
[INFO] done 10/257 | RAW_20230719_025648.380.sgy | split_01_ch2200_2605
[INFO] done 10/257 | RAW_20230719_025648.380.sgy | split_02_ch2650_3055
[INFO] done 10/257 | RAW_20230719_025648.380.sgy | split_03_ch3100_3505
[INFO] done 10/257 | RAW_20230719_025648.380.sgy | split_04_ch3550_3955
[INFO] done 11/257 | RAW_20230719_025836.060.sgy | split_01_ch2200_2605
[INFO] done 11/257 | RAW_20230719_025836.060.sgy | split_02_ch2650_3055
[INFO] done 11/257 | RAW_20230719_025836.060.sgy | split_03_ch3100_3505
[INFO] done 11/257 | RAW_20230719_025836.060.sgy | split_04_ch3550_3955
[INFO] done 12/257 | RAW_20230719_025842.080.sgy | split_01_ch2200_2605
[INFO] done 12/257 | RAW_20230719_025842.080.sgy | split_02_ch2650_3055
[INFO] done 12/257 | RAW_20230719_025842.080.sgy | split_03_ch3100_3505
[INFO] done 12/257 | RAW_20230719_025842.080.sgy | split_04_ch3550_3955
[INFO] done 13/257 | RAW_20230719_030249.180.sgy | split_01_ch2200_2605
[INFO] done 13/257 | RAW_20230719_030249.180.sgy | split_02_ch2650_3055
[INFO] done 13/257 | RAW_20230719_030249.180.sgy | split_03_ch3100_3505
[INFO] done 13/257 | RAW_20230719_030249.180.sgy | split_04_ch3550_3955
[INFO] done 14/257 | RAW_20230719_030929.320.sgy | split_01_ch2200_2605
[INFO] done 14/257 | RAW_20230719_030929.320.sgy | split_02_ch2650_3055
[INFO] done 14/257 | RAW_20230719_030929.320.sgy | split_03_ch3100_3505
[INFO] done 14/257 | RAW_20230719_030929.320.sgy | split_04_ch3550_3955
[INFO] done 15/257 | RAW_20230719_030953.040.sgy | split_01_ch2200_2605
[INFO] done 15/257 | RAW_20230719_030953.040.sgy | split_02_ch2650_3055
[INFO] done 15/257 | RAW_20230719_030953.040.sgy | split_03_ch3100_3505
[INFO] done 15/257 | RAW_20230719_030953.040.sgy | split_04_ch3550_3955
[INFO] done 16/257 | RAW_20230719_031236.560.sgy | split_01_ch2200_2605
