sgy_file,split_name,split_ch_start,split_ch_end,folder,segment_index,png_relpath,sample_start,sample_end,start_sec,end_sec,axis_top,axis_bottom,axis_name
RAW_20230719_014658.140.sgy,split_01_ch4000_4405,4000,4405,0000_RAW_20230719_014658.140,0,split_01_ch4000_4405/0000_RAW_20230719_014658.140/seg_000.png,0,2000,0.0,2.0,-1024.2,-610.4,Depth (m)
RAW_20230719_014658.140.sgy,split_01_ch4000_4405,4000,4405,0000_RAW_20230719_014658.140,1,split_01_ch4000_4405/0000_RAW_20230719_014658.140/seg_001.png,1000,3000,1.0,3.0,-1024.2,-610.4,Depth (m)
RAW_20230719_014658.140.sgy,split_01_ch4000_4405,4000,4405,0000_RAW_20230719_014658.140,2,split_01_ch4000_4405/0000_RAW_20230719_014658.140/seg_002.png,2000,4000,2.0,4.0,-1024.2,-610.4,Depth (m)
RAW_20230719_014658.140.sgy,split_01_ch4000_4405,4000,4405,0000_RAW_20230719_014658.140,3,split_01_ch4000_4405/0000_RAW_20230719_014658.140/seg_003.png,3000,5000,3.0,5.0,-1024.2,-610.4,Depth (m)
RAW_20230719_015052.760.sgy,split_01_ch4000_4405,4000,4405,0001_RAW_20230719_015052.760,0,split_01_ch4000_4405/0001_RAW_20230719_015052.760/seg_000.png,0,2000,0.0,2.0,-1024.2,-610.4,Depth (m)
RAW_20230719_015052.760.sgy,split_01_ch4000_4405,4000,4405,0001_RAW_20230719_015052.760,1,split_01_ch4000_4405/0001_RAW_20230719_015052.760/seg_001.png,1000,3000,1.0,3.0,-1024.2,-610.4,Depth (m)
RAW_20230719_015052.760.sgy,split_01_ch4000_4405,4000,4405,0001_RAW_20230719_015052.760,2,split_01_ch4000_4405/0001_RAW_20230719_015052.760/seg_002.png,2000,4000,2.0,4.0,-1024.2,-610.4,Depth (m)
RAW_20230719_015052.760.sgy,split_01_ch4000_4405,4000,4405,0001_RAW_20230719_015052.760,3,split_01_ch4000_4405/0001_RAW_20230719_015052.760/seg_003.png,3000,5000,3.0,5.0,-1024.2,-610.4,Depth (m)
RAW_20230719_015140.420.sgy,split_01_ch4000_4405,4000,4405,0002_RAW_20230719_015140.420,0,split_01_ch4000_4405/0002_RAW_20230719_015140.420/seg_000.png,0,2000,0.0,2.0,-1024.2,-610.4,Depth (m)
RAW_20230719_015140.420.sgy,split_01_ch4000_4405,4000,4405,0002_RAW_20230719_015140.420,1,split_01_ch4000_4405/0002_RAW_20230719_015140.420/seg_001.png,1000,3000,1.0,3.0,-1024.2,-610.4,Depth (m)
RAW_20230719_015140.420.sgy,split_01_ch4000_4405,4000,4405,0002_RAW_20230719_015140.420,2,split_01_ch4000_4405/0002_RAW_20230719_015140.420/seg_002.png,2000,4000,2.0,4.0,-1024.2,-610.4,Depth (m)
RAW_20230719_015140.420.sgy,split_01_ch4000_4405,4000,4405,0002_RAW_20230719_015140.420,3,split_01_ch4000_4405/0002_RAW_20230719_015140.420/seg_003.png,3000,5000,3.0,5.0,-1024.2,-610.4,Depth (m)
RAW_20230719_021049.840.sgy,split_01_ch4000_4405,4000,4405,0003_RAW_20230719_021049.840,0,split_01_ch4000_4405/0003_RAW_20230719_021049.840/seg_000.png,0,2000,0.0,2.0,-1024.2,-610.4,Depth (m)
RAW_20230719_021049.840.sgy,split_01_ch4000_4405,4000,4405,0003_RAW_20230719_021049.840,1,split_01_ch4000_4405/0003_RAW_20230719_021049.840/seg_001.png,1000,3000,1.0,3.0,-1024.2,-610.4,Depth (m)
RAW_20230719_021049.840.sgy,split_01_ch4000_4405,4000,4405,0003_RAW_20230719_021049.840,2,split_01_ch4000_4405/0003_RAW_20230719_021049.840/seg_002.png,2000,4000,2.0,4.0,-1024.2,-610.4,Depth (m)
RAW_20230719_021049.840.sgy,split_01_ch4000_4405,4000,4405,0003_RAW_20230719_021049.840,3,split_01_ch4000_4405/0003_RAW_20230719_021049.840/seg_003.png,3000,5000,3.0,5.0,-1024.2,-610.4,Depth (m)
RAW_20230719_021757.860.sgy,split_01_ch4000_4405,4000,4405,0004_RAW_20230719_021757.860,0,split_01_ch4000_4405/0004_RAW_20230719_021757.860/seg_000.png,0,2000,0.0,2.0,-1024.2,-610.4,Depth (m)
RAW_20230719_021757.860.sgy,split_01_ch4000_4405,4000,4405,0004_RAW_20230719_021757.860,1,split_01_ch4000_4405/0004_RAW_20230719_021757.860/seg_001.png,1000,3000,1.0,3.0,-1024.2,-610.4,Depth (m)
RAW_20230719_021757.860.sgy,split_01_ch4000_4405,4000,4405,0004_RAW_20230719_021757.860,2,split_01_ch4000_4405/0004_RAW_20230719_021757.860/seg_002.png,2000,4000,2.0,4.0,-1024.2,-610.4,Depth (m)
RAW_20230719_021757.860.sgy,split_01_ch4000_4405,4000,4405,0004_RAW_20230719_021757.860,3,split_01_ch4000_4405/0004_RAW_20230719_021757.860/seg_003.png,3000,5000,3.0,5.0,-1024.2,-610.4,Depth (m)
RAW_20230719_022127.800.sgy,split_01_ch4000_4405,4000,4405,0005_RAW_20230719_022127.800,0,split_01_ch4000_4405/0005_RAW_20230719_022127.800/seg_000.png,0,2000,0.0,2.0,-1024.2,-610.4,Depth (m)
RAW_20230719_022127.800.sgy,split_01_ch4000_4405,4000,4405,0005_RAW_20230719_022127.800,1,split_01_ch4000_4405/0005_RAW_20230719_022127.800/seg_001.png,1000,3000,1.0,3.0,-1024.2,-610.4,Depth (m)
RAW_20230719_022127.800.sgy,split_01_ch4000_4405,4000,4405,0005_RAW_20230719_022127.800,2,split_01_ch4000_4405/0005_RAW_20230719_022127.800/seg_002.png,2000,4000,2.0,4.0,-1024.2,-610.4,Depth (m)
RAW_20230719_022127.800.sgy,split_01_ch4000_4405,4000,4405,0005_RAW_20230719_022127.800,3,split_01_ch4000_4405/0005_RAW_20230719_022127.800/seg_003.png,3000,5000,3.0,5.0,-1024.2,-610.4,Depth (m)
RAW_20230719_022252.220.sgy,split_01_ch4000_4405,4000,4405,0006_RAW_20230719_022252.220,0,split_01_ch4000_4405/0006_RAW_20230719_022252.220/seg_000.png,0,2000,0.0,2.0,-1024.2,-610.4,Depth (m)
RAW_20230719_022252.220.sgy,split_01_ch4000_4405,4000,4405,0006_RAW_20230719_022252.220,1,split_01_ch4000_4405/0006_RAW_20230719_022252.220/seg_001.png,1000,3000,1.0,3.0,-1024.2,-610.4,Depth (m)
RAW_20230719_022252.220.sgy,split_01_ch4000_4405,4000,4405,0006_RAW_20230719_022252.220,2,split_01_ch4000_4405/0006_RAW_20230719_022252.220/seg_002.png,2000,4000,2.0,4.0,-1024.2,-610.4,Depth (m)
RAW_20230719_022252.220.sgy,split_01_ch4000_4405,4000,4405,0006_RAW_20230719_022252.220,3,split_01_ch4000_4405/0006_RAW_20230719_022252.220/seg_003.png,3000,5000,3.0,5.0,-1024.2,-610.4,Depth (m)
RAW_20230719_023754.260.sgy,split_01_ch4000_4405,4000,4405,0007_RAW_20230719_023754.260,0,split_01_ch4000_4405/0007_RAW_20230719_023754.260/seg_000.png,0,2000,0.0,2.0,-1024.2,-610.4,Depth (m)
